run_name,run_path,config/dataset.name,config/tracking.seed,config/dataset.gen_dow_kwargs.seed,config/trainer.generative.criterion.kwargs.alpha,acc,dis_loss,gen_loss,rob/0.05,rob/0.1,rob/0.15,uq_clean_accuracy,uq_clean_log_px_mean,uq_adv_acc/0.05,uq_adv_acc/0.1,uq_adv_acc/0.15,uq_detection/1pct/0.05,uq_detection/5pct/0.05,uq_detection/10pct/0.05,uq_detection/20pct/0.05,uq_detection/1pct/0.1,uq_detection/5pct/0.1,uq_detection/10pct/0.1,uq_detection/20pct/0.1,uq_detection/1pct/0.15,uq_detection/5pct/0.15,uq_detection/10pct/0.15,uq_detection/20pct/0.15,uq_det_err_detected/1pct/0.05,uq_det_err_detected/5pct/0.05,uq_det_err_detected/10pct/0.05,uq_det_err_detected/20pct/0.05,uq_det_err_detected/1pct/0.1,uq_det_err_detected/5pct/0.1,uq_det_err_detected/10pct/0.1,uq_det_err_detected/20pct/0.1,uq_det_err_detected/1pct/0.15,uq_det_err_detected/5pct/0.15,uq_det_err_detected/10pct/0.15,uq_det_err_detected/20pct/0.15,uq_det_err_passed/1pct/0.05,uq_det_err_passed/5pct/0.05,uq_det_err_passed/10pct/0.05,uq_det_err_passed/20pct/0.05,uq_det_err_passed/1pct/0.1,uq_det_err_passed/5pct/0.1,uq_det_err_passed/10pct/0.1,uq_det_err_passed/20pct/0.1,uq_det_err_passed/1pct/0.15,uq_det_err_passed/5pct/0.15,uq_det_err_passed/10pct/0.15,uq_det_err_passed/20pct/0.15,uq_purify_acc/0.05/0.1,uq_purify_recovery/0.05/0.1,uq_purify_acc/0.05/0.15,uq_purify_recovery/0.05/0.15,uq_purify_acc/0.1/0.1,uq_purify_recovery/0.1/0.1,uq_purify_acc/0.1/0.15,uq_purify_recovery/0.1/0.15,uq_purify_acc/0.15/0.1,uq_purify_recovery/0.15/0.1,uq_purify_acc/0.15/0.15,uq_purify_recovery/0.15/0.15,uq_clean_purify_acc/0.1,uq_clean_purify_acc/0.15,uq_joint_adv_acc/0.05,uq_joint_adv_acc/0.1,uq_joint_adv_acc/0.15,uq_joint_detection/1pct/0.05,uq_joint_detection/5pct/0.05,uq_joint_detection/10pct/0.05,uq_joint_detection/20pct/0.05,uq_joint_detection/1pct/0.1,uq_joint_detection/5pct/0.1,uq_joint_detection/10pct/0.1,uq_joint_detection/20pct/0.1,uq_joint_detection/1pct/0.15,uq_joint_detection/5pct/0.15,uq_joint_detection/10pct/0.15,uq_joint_detection/20pct/0.15,uq_joint_det_err_detected/1pct/0.05,uq_joint_det_err_detected/5pct/0.05,uq_joint_det_err_detected/10pct/0.05,uq_joint_det_err_detected/20pct/0.05,uq_joint_det_err_detected/1pct/0.1,uq_joint_det_err_detected/5pct/0.1,uq_joint_det_err_detected/10pct/0.1,uq_joint_det_err_detected/20pct/0.1,uq_joint_det_err_detected/1pct/0.15,uq_joint_det_err_detected/5pct/0.15,uq_joint_det_err_detected/10pct/0.15,uq_joint_det_err_detected/20pct/0.15,uq_joint_det_err_passed/1pct/0.05,uq_joint_det_err_passed/5pct/0.05,uq_joint_det_err_passed/10pct/0.05,uq_joint_det_err_passed/20pct/0.05,uq_joint_det_err_passed/1pct/0.1,uq_joint_det_err_passed/5pct/0.1,uq_joint_det_err_passed/10pct/0.1,uq_joint_det_err_passed/20pct/0.1,uq_joint_det_err_passed/1pct/0.15,uq_joint_det_err_passed/5pct/0.15,uq_joint_det_err_passed/10pct/0.15,uq_joint_det_err_passed/20pct/0.15,uq_joint_purify_acc/0.05/0.1,uq_joint_purify_recovery/0.05/0.1,uq_joint_purify_acc/0.05/0.15,uq_joint_purify_recovery/0.05/0.15,uq_joint_purify_acc/0.1/0.1,uq_joint_purify_recovery/0.1/0.1,uq_joint_purify_acc/0.1/0.15,uq_joint_purify_recovery/0.1/0.15,uq_joint_purify_acc/0.15/0.1,uq_joint_purify_recovery/0.15/0.1,uq_joint_purify_acc/0.15/0.15,uq_joint_purify_recovery/0.15/0.15,range_size,eps_unit
0,/mathqi/mnissen/bm4tc/outputs/ecg200/nat/legendre/d3r10c64/seed_sweep/cold_a05_2707/0,ecg200,1,42,,0.82,0.5931481122970581,5.345099925994873,0.7,0.5,0.34,0.82,-4.751952171325684,0.7,0.52,0.24,0.1,0.22,0.26,0.32,0.26,0.42,0.44,0.5,0.44,0.72,0.76,0.86,0.4,0.5454545454545454,0.4615384615384615,0.4375,0.4615384615384615,0.5238095238095238,0.5,0.52,0.8636363636363636,0.8333333333333334,0.8157894736842105,0.813953488372093,0.2888888888888888,0.2307692307692307,0.2432432432432432,0.2352941176470588,0.4864864864864865,0.4482758620689655,0.4642857142857143,0.44,0.6785714285714286,0.5714285714285714,0.5833333333333334,0.4285714285714285,0.8,0.4,0.8,0.4,0.72,0.4166666666666667,0.78,0.5416666666666666,0.5,0.3421052631578947,0.6,0.4736842105263157,0.84,0.82,0.84,0.8,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.16,0.16,0.16,0.16,0.2,0.2,0.2,0.2,0.22,0.22,0.22,0.22,0.8,0.0,0.8,0.0,0.8,0.0,0.8,0.0,0.76,0.0,0.8,0.1818181818181818,2.0,rel
1,/mathqi/mnissen/bm4tc/outputs/ecg200/nat/legendre/d3r10c64/seed_sweep/cold_a05_2707/1,ecg200,2,42,,0.82,0.63006591796875,5.060730934143066,0.7,0.48,0.3,0.82,-4.430664539337158,0.72,0.44,0.22,0.08,0.14,0.2,0.3,0.16,0.38,0.42,0.6,0.62,0.7,0.74,0.88,0.25,0.2857142857142857,0.3,0.3333333333333333,0.75,0.7368421052631579,0.7619047619047619,0.7,0.8387096774193549,0.8285714285714286,0.8378378378378378,0.7954545454545454,0.2826086956521739,0.2790697674418604,0.275,0.2571428571428571,0.5238095238095238,0.4516129032258064,0.4137931034482758,0.35,0.6842105263157895,0.6666666666666666,0.6153846153846154,0.6666666666666666,0.8,0.3571428571428571,0.8,0.3571428571428571,0.74,0.5357142857142857,0.78,0.6071428571428571,0.46,0.3076923076923077,0.64,0.5384615384615384,0.82,0.8,0.8,0.82,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.2,0.2,0.2,0.2,0.18,0.18,0.18,0.18,0.28,0.28,0.28,0.28,0.82,0.1,0.8,0.1,0.8,0.0,0.8,0.0,0.78,0.2142857142857142,0.78,0.2142857142857142,2.0,rel
2,/mathqi/mnissen/bm4tc/outputs/ecg200/nat/legendre/d3r10c64/seed_sweep/cold_a05_2707/2,ecg200,3,42,,0.82,0.5881017446517944,5.296266555786133,0.7,0.48,0.24,0.82,-4.708164691925049,0.68,0.44,0.2,0.06,0.12,0.14,0.28,0.2,0.3,0.32,0.58,0.4,0.56,0.6,0.76,0.6666666666666666,0.6666666666666666,0.7142857142857143,0.5714285714285714,0.5,0.5333333333333333,0.5,0.5862068965517241,0.8,0.8214285714285714,0.8,0.7894736842105263,0.2978723404255319,0.2727272727272727,0.2558139534883721,0.2222222222222222,0.575,0.5714285714285714,0.5882352941176471,0.5238095238095238,0.8,0.7727272727272727,0.8,0.8333333333333334,0.78,0.3125,0.8,0.375,0.72,0.5,0.76,0.5714285714285714,0.46,0.325,0.62,0.525,0.82,0.82,0.82,0.8,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.18,0.18,0.18,0.18,0.2,0.2,0.2,0.2,0.26,0.26,0.26,0.26,0.82,0.0,0.8,0.0,0.8,0.0,0.8,0.0,0.76,0.0769230769230769,0.78,0.1538461538461538,2.0,rel
3,/mathqi/mnissen/bm4tc/outputs/ecg200/nat/legendre/d3r10c64/seed_sweep/cold_a05_2707/3,ecg200,4,42,,0.82,0.6154848337173462,5.224541664123535,0.7,0.42,0.24,0.82,-4.60905647277832,0.7,0.42,0.3,0.08,0.1,0.1,0.32,0.22,0.28,0.38,0.52,0.52,0.62,0.64,0.82,0.75,0.8,0.8,0.5,0.7272727272727273,0.7142857142857143,0.631578947368421,0.6923076923076923,0.6923076923076923,0.7419354838709677,0.75,0.7073170731707317,0.2608695652173913,0.2444444444444444,0.2444444444444444,0.2058823529411764,0.5384615384615384,0.5277777777777778,0.5483870967741935,0.4583333333333333,0.7083333333333334,0.631578947368421,0.6111111111111112,0.6666666666666666,0.78,0.2666666666666666,0.76,0.2666666666666666,0.68,0.4482758620689655,0.72,0.5172413793103449,0.42,0.1714285714285714,0.54,0.3428571428571428,0.82,0.8,0.8,0.72,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.2,0.2,0.2,0.2,0.28,0.28,0.28,0.28,0.42,0.42,0.42,0.42,0.82,0.1,0.82,0.2,0.8,0.2857142857142857,0.8,0.3571428571428571,0.76,0.4761904761904761,0.8,0.5714285714285714,2.0,rel
4,/mathqi/mnissen/bm4tc/outputs/ecg200/nat/legendre/d3r10c64/seed_sweep/cold_a05_2707/4,ecg200,5,42,,0.82,0.5778836607933044,5.590847015380859,0.68,0.44,0.34,0.82,-5.012963771820068,0.68,0.46,0.26,0.08,0.1,0.14,0.36,0.16,0.3,0.34,0.5,0.56,0.56,0.66,0.8,0.75,0.6,0.5714285714285714,0.5555555555555556,0.875,0.7333333333333333,0.7647058823529411,0.76,0.8214285714285714,0.8214285714285714,0.7878787878787878,0.8,0.2826086956521739,0.2888888888888888,0.2790697674418604,0.1875,0.4761904761904761,0.4571428571428571,0.4242424242424242,0.32,0.6363636363636364,0.6363636363636364,0.6470588235294118,0.5,0.76,0.375,0.8,0.5,0.66,0.3703703703703703,0.72,0.4814814814814814,0.5,0.3243243243243243,0.7,0.5945945945945946,0.84,0.84,0.82,0.8,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.18,0.18,0.18,0.18,0.2,0.2,0.2,0.2,0.28,0.28,0.28,0.28,0.82,0.1111111111111111,0.82,0.1111111111111111,0.82,0.1,0.82,0.1,0.78,0.2142857142857142,0.76,0.1428571428571428,2.0,rel
5,/mathqi/mnissen/bm4tc/outputs/ecg200/nat/legendre/d3r10c64/seed_sweep/cold_a05_2707/5,ecg200,6,42,,0.84,0.6388084292411804,5.081638813018799,0.68,0.44,0.28,0.84,-4.442830562591553,0.68,0.42,0.24,0.08,0.12,0.18,0.28,0.2,0.38,0.42,0.52,0.58,0.7,0.76,0.82,0.5,0.6666666666666666,0.4444444444444444,0.5714285714285714,0.5,0.5789473684210527,0.5238095238095238,0.5769230769230769,0.7931034482758621,0.8285714285714286,0.8157894736842105,0.8048780487804879,0.3043478260869565,0.2727272727272727,0.2926829268292683,0.2222222222222222,0.6,0.5806451612903226,0.6206896551724138,0.5833333333333334,0.7142857142857143,0.6,0.5833333333333334,0.5555555555555556,0.78,0.375,0.8,0.4375,0.68,0.4482758620689655,0.76,0.5862068965517241,0.5,0.3421052631578947,0.62,0.5,0.8,0.8,0.84,0.72,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.16,0.16,0.16,0.16,0.28,0.28,0.28,0.28,0.36,0.36,0.36,0.36,0.8,0.0,0.8,0.0,0.8,0.2857142857142857,0.8,0.2857142857142857,0.76,0.3333333333333333,0.74,0.3333333333333333,2.0,rel
6,/mathqi/mnissen/bm4tc/outputs/ecg200/nat/legendre/d3r10c64/seed_sweep/cold_a05_2707/6,ecg200,7,42,,0.82,0.6065467000007629,5.264108180999756,0.7,0.42,0.16,0.82,-4.657561302185059,0.7,0.4,0.18,0.06,0.12,0.16,0.32,0.3,0.46,0.52,0.7,0.58,0.66,0.78,0.88,0.6666666666666666,0.6666666666666666,0.625,0.4375,0.7333333333333333,0.6956521739130435,0.6923076923076923,0.6571428571428571,0.896551724137931,0.8787878787878788,0.8461538461538461,0.8409090909090909,0.2765957446808511,0.25,0.238095238095238,0.2352941176470588,0.5428571428571428,0.5185185185185185,0.5,0.4666666666666667,0.7142857142857143,0.7058823529411765,0.7272727272727273,0.6666666666666666,0.72,0.1333333333333333,0.76,0.2666666666666666,0.68,0.4666666666666667,0.7,0.5,0.52,0.4390243902439024,0.6,0.5365853658536586,0.8,0.8,0.82,0.8,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.18,0.18,0.18,0.18,0.2,0.2,0.2,0.2,0.22,0.22,0.22,0.22,0.8,0.0,0.8,0.0,0.8,0.0,0.8,0.0,0.76,0.0909090909090909,0.76,0.0909090909090909,2.0,rel
7,/mathqi/mnissen/bm4tc/outputs/ecg200/nat/legendre/d3r10c64/seed_sweep/cold_a05_2707/7,ecg200,8,42,,0.82,0.6256861090660095,5.049765110015869,0.66,0.4,0.18,0.82,-4.424079418182373,0.68,0.44,0.22,0.1,0.14,0.18,0.3,0.2,0.3,0.38,0.58,0.52,0.64,0.7,0.82,0.6,0.4285714285714285,0.5555555555555556,0.6,0.6,0.5333333333333333,0.5789473684210527,0.5862068965517241,0.7692307692307693,0.75,0.7714285714285715,0.8048780487804879,0.2888888888888888,0.3023255813953488,0.2682926829268293,0.2,0.55,0.5714285714285714,0.5483870967741935,0.5238095238095238,0.7916666666666666,0.8333333333333334,0.8,0.6666666666666666,0.76,0.3125,0.78,0.375,0.66,0.3928571428571428,0.72,0.5,0.46,0.3076923076923077,0.62,0.5128205128205128,0.82,0.82,0.82,0.78,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.18,0.18,0.18,0.18,0.22,0.22,0.22,0.22,0.32,0.32,0.32,0.32,0.8,0.0,0.8,0.0,0.8,0.0909090909090909,0.8,0.0909090909090909,0.8,0.375,0.8,0.375,2.0,rel
8,/mathqi/mnissen/bm4tc/outputs/ecg200/nat/legendre/d3r10c64/seed_sweep/cold_a05_2707/8,ecg200,9,42,,0.82,0.5717061758041382,4.745184898376465,0.66,0.48,0.28,0.82,-4.173478603363037,0.66,0.44,0.22,0.08,0.16,0.22,0.26,0.24,0.32,0.46,0.58,0.54,0.64,0.7,0.78,0.75,0.75,0.6363636363636364,0.5384615384615384,0.4166666666666667,0.5,0.5217391304347826,0.5862068965517241,0.8148148148148148,0.84375,0.8571428571428571,0.8205128205128205,0.3043478260869565,0.2619047619047619,0.2564102564102564,0.2702702702702703,0.6052631578947368,0.5882352941176471,0.5925925925925926,0.5238095238095238,0.7391304347826086,0.6666666666666666,0.6,0.6363636363636364,0.78,0.3529411764705882,0.78,0.3529411764705882,0.62,0.3214285714285714,0.74,0.5357142857142857,0.42,0.2564102564102564,0.52,0.3846153846153846,0.82,0.82,0.8,0.78,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.2,0.2,0.2,0.2,0.22,0.22,0.22,0.22,0.3,0.3,0.3,0.3,0.8,0.1,0.82,0.2,0.8,0.0909090909090909,0.8,0.1818181818181818,0.72,0.0666666666666666,0.8,0.3333333333333333,2.0,rel
9,/mathqi/mnissen/bm4tc/outputs/ecg200/nat/legendre/d3r10c64/seed_sweep/cold_a05_2707/9,ecg200,10,42,,0.8,0.5864805579185486,4.760655403137207,0.66,0.44,0.26,0.8,-4.174174785614014,0.66,0.44,0.26,0.1,0.16,0.2,0.28,0.2,0.36,0.46,0.62,0.54,0.74,0.74,0.86,0.6,0.625,0.7,0.5714285714285714,0.7,0.7222222222222222,0.6956521739130435,0.6774193548387096,0.8148148148148148,0.7297297297297297,0.7297297297297297,0.7441860465116279,0.3111111111111111,0.2857142857142857,0.25,0.25,0.525,0.46875,0.4444444444444444,0.3684210526315789,0.6521739130434783,0.7692307692307693,0.7692307692307693,0.7142857142857143,0.74,0.2352941176470588,0.76,0.2941176470588235,0.6,0.3214285714285714,0.66,0.3928571428571428,0.48,0.2972972972972973,0.56,0.4054054054054054,0.8,0.8,0.78,0.8,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.22,0.22,0.22,0.22,0.2,0.2,0.2,0.2,0.22,0.22,0.22,0.22,0.8,0.0909090909090909,0.8,0.0909090909090909,0.8,0.0,0.8,0.0,0.8,0.0909090909090909,0.8,0.0909090909090909,2.0,rel
