run_name,run_path,config/dataset.name,config/tracking.seed,config/dataset.gen_dow_kwargs.seed,config/trainer.nll.alpha,config/trainer.adversarial.alpha,acc,dis_loss,gen_loss,rob/0.05,rob/0.1,rob/0.15,uq_clean_accuracy,uq_clean_log_px_mean,uq_adv_acc/0.05,uq_adv_acc/0.1,uq_adv_acc/0.15,uq_detection/1pct/0.05,uq_detection/5pct/0.05,uq_detection/10pct/0.05,uq_detection/20pct/0.05,uq_detection/1pct/0.1,uq_detection/5pct/0.1,uq_detection/10pct/0.1,uq_detection/20pct/0.1,uq_detection/1pct/0.15,uq_detection/5pct/0.15,uq_detection/10pct/0.15,uq_detection/20pct/0.15,uq_det_err_detected/1pct/0.05,uq_det_err_detected/5pct/0.05,uq_det_err_detected/10pct/0.05,uq_det_err_detected/20pct/0.05,uq_det_err_detected/1pct/0.1,uq_det_err_detected/5pct/0.1,uq_det_err_detected/10pct/0.1,uq_det_err_detected/20pct/0.1,uq_det_err_detected/1pct/0.15,uq_det_err_detected/5pct/0.15,uq_det_err_detected/10pct/0.15,uq_det_err_detected/20pct/0.15,uq_det_err_passed/1pct/0.05,uq_det_err_passed/5pct/0.05,uq_det_err_passed/10pct/0.05,uq_det_err_passed/20pct/0.05,uq_det_err_passed/1pct/0.1,uq_det_err_passed/5pct/0.1,uq_det_err_passed/10pct/0.1,uq_det_err_passed/20pct/0.1,uq_det_err_passed/1pct/0.15,uq_det_err_passed/5pct/0.15,uq_det_err_passed/10pct/0.15,uq_det_err_passed/20pct/0.15,uq_purify_acc/0.05/0.1,uq_purify_recovery/0.05/0.1,uq_purify_acc/0.05/0.15,uq_purify_recovery/0.05/0.15,uq_purify_acc/0.1/0.1,uq_purify_recovery/0.1/0.1,uq_purify_acc/0.1/0.15,uq_purify_recovery/0.1/0.15,uq_purify_acc/0.15/0.1,uq_purify_recovery/0.15/0.1,uq_purify_acc/0.15/0.15,uq_purify_recovery/0.15/0.15,uq_clean_purify_acc/0.1,uq_clean_purify_acc/0.15,uq_joint_adv_acc/0.05,uq_joint_adv_acc/0.1,uq_joint_adv_acc/0.15,uq_joint_detection/1pct/0.05,uq_joint_detection/5pct/0.05,uq_joint_detection/10pct/0.05,uq_joint_detection/20pct/0.05,uq_joint_detection/1pct/0.1,uq_joint_detection/5pct/0.1,uq_joint_detection/10pct/0.1,uq_joint_detection/20pct/0.1,uq_joint_detection/1pct/0.15,uq_joint_detection/5pct/0.15,uq_joint_detection/10pct/0.15,uq_joint_detection/20pct/0.15,uq_joint_det_err_detected/1pct/0.05,uq_joint_det_err_detected/5pct/0.05,uq_joint_det_err_detected/10pct/0.05,uq_joint_det_err_detected/20pct/0.05,uq_joint_det_err_detected/1pct/0.1,uq_joint_det_err_detected/5pct/0.1,uq_joint_det_err_detected/10pct/0.1,uq_joint_det_err_detected/20pct/0.1,uq_joint_det_err_detected/1pct/0.15,uq_joint_det_err_detected/5pct/0.15,uq_joint_det_err_detected/10pct/0.15,uq_joint_det_err_detected/20pct/0.15,uq_joint_det_err_passed/1pct/0.05,uq_joint_det_err_passed/5pct/0.05,uq_joint_det_err_passed/10pct/0.05,uq_joint_det_err_passed/20pct/0.05,uq_joint_det_err_passed/1pct/0.1,uq_joint_det_err_passed/5pct/0.1,uq_joint_det_err_passed/10pct/0.1,uq_joint_det_err_passed/20pct/0.1,uq_joint_det_err_passed/1pct/0.15,uq_joint_det_err_passed/5pct/0.15,uq_joint_det_err_passed/10pct/0.15,uq_joint_det_err_passed/20pct/0.15,uq_joint_purify_acc/0.05/0.1,uq_joint_purify_recovery/0.05/0.1,uq_joint_purify_acc/0.05/0.15,uq_joint_purify_recovery/0.05/0.15,uq_joint_purify_acc/0.1/0.1,uq_joint_purify_recovery/0.1/0.1,uq_joint_purify_acc/0.1/0.15,uq_joint_purify_recovery/0.1/0.15,uq_joint_purify_acc/0.15/0.1,uq_joint_purify_recovery/0.15/0.1,uq_joint_purify_acc/0.15/0.15,uq_joint_purify_recovery/0.15/0.15,range_size,eps_unit,config/descriptor,config/model_path
0,/mathqi/mnissen/bm4tc/outputs/ecg200/nat/legendre/d3r10c64/seed_sweep/cold_a1_2707/0,ecg200,1,42,1.0,,0.8,0.4570246636867523,4.701505184173584,0.62,0.32,0.1,0.8,-4.244480609893799,0.64,0.34,0.08,0.12,0.16,0.2,0.34,0.28,0.42,0.48,0.64,0.5,0.5,0.62,0.84,0.6666666666666666,0.625,0.6,0.5294117647058824,0.6428571428571429,0.5714285714285714,0.625,0.59375,0.92,0.92,0.9032258064516128,0.9285714285714286,0.3181818181818182,0.3095238095238095,0.3,0.2727272727272727,0.6666666666666666,0.7241379310344828,0.6923076923076923,0.7777777777777778,0.92,0.92,0.9473684210526316,0.875,0.72,0.3333333333333333,0.74,0.3888888888888889,0.62,0.4242424242424242,0.68,0.5151515151515151,0.4,0.3478260869565217,0.6,0.5652173913043478,0.82,0.82,0.84,0.82,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.16,0.16,0.16,0.16,0.18,0.18,0.18,0.18,0.22,0.22,0.22,0.22,0.82,0.0,0.82,0.0,0.8,0.0,0.8,0.0,0.76,0.0,0.76,0.0,2.0,rel,nll_cold,
1,/mathqi/mnissen/bm4tc/outputs/ecg200/nat/legendre/d3r10c64/seed_sweep/cold_a1_2707/1,ecg200,2,42,1.0,,0.84,0.4503009617328644,4.506572246551514,0.66,0.38,0.12,0.84,-4.056271076202393,0.68,0.36,0.14,0.06,0.08,0.14,0.24,0.2,0.32,0.44,0.58,0.62,0.7,0.8,0.9,0.6666666666666666,0.75,0.7142857142857143,0.5,0.5,0.625,0.6363636363636364,0.6206896551724138,0.8709677419354839,0.8857142857142857,0.9,0.8888888888888888,0.2978723404255319,0.2826086956521739,0.2558139534883721,0.2631578947368421,0.675,0.6470588235294118,0.6428571428571429,0.6666666666666666,0.8421052631578947,0.8,0.7,0.6,0.74,0.1875,0.78,0.3125,0.6,0.375,0.66,0.46875,0.52,0.4418604651162791,0.62,0.5581395348837209,0.84,0.84,0.82,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.18,0.18,0.18,0.18,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.8,0.0,0.8,0.0,0.8,0.0,0.8,0.0,0.8,0.0,0.8,0.0,2.0,rel,nll_cold,
2,/mathqi/mnissen/bm4tc/outputs/ecg200/nat/legendre/d3r10c64/seed_sweep/cold_a1_2707/2,ecg200,3,42,1.0,,0.8,0.4463081955909729,4.792856693267822,0.66,0.44,0.14,0.8,-4.346548557281494,0.64,0.42,0.16,0.06,0.12,0.22,0.28,0.16,0.34,0.56,0.76,0.46,0.62,0.82,0.92,0.6666666666666666,0.5,0.5454545454545454,0.5714285714285714,0.75,0.7647058823529411,0.6071428571428571,0.631578947368421,0.8260869565217391,0.8064516129032258,0.8292682926829268,0.8478260869565217,0.3404255319148936,0.3409090909090909,0.3076923076923077,0.2777777777777778,0.5476190476190477,0.4848484848484848,0.5454545454545454,0.4166666666666667,0.8518518518518519,0.8947368421052632,0.8888888888888888,0.75,0.76,0.3333333333333333,0.8,0.4444444444444444,0.64,0.3793103448275862,0.76,0.5862068965517241,0.48,0.3809523809523809,0.52,0.4285714285714285,0.84,0.84,0.78,0.76,0.8,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,0.22,0.22,0.22,0.2244897959183673,0.24,0.24,0.24,0.24,0.2,0.2,0.2,0.2,0.8,0.0909090909090909,0.8,0.0909090909090909,0.78,0.0833333333333333,0.78,0.0833333333333333,0.8,0.0,0.78,0.0,2.0,rel,nll_cold,
3,/mathqi/mnissen/bm4tc/outputs/ecg200/nat/legendre/d3r10c64/seed_sweep/cold_a1_2707/3,ecg200,4,42,1.0,,0.84,0.4116107225418091,4.417578220367432,0.62,0.3,0.1,0.84,-4.005967617034912,0.62,0.32,0.04,0.12,0.18,0.2,0.34,0.34,0.42,0.5,0.68,0.6,0.66,0.7,0.8,0.8333333333333334,0.7777777777777778,0.7,0.5882352941176471,0.7058823529411765,0.6666666666666666,0.68,0.7058823529411765,0.9666666666666668,0.9696969696969696,0.9714285714285714,0.975,0.3181818181818182,0.2926829268292683,0.3,0.2727272727272727,0.6666666666666666,0.6896551724137931,0.68,0.625,0.95,0.9411764705882352,0.9333333333333332,0.9,0.74,0.3157894736842105,0.76,0.3684210526315789,0.62,0.4411764705882353,0.66,0.5,0.36,0.3333333333333333,0.52,0.5,0.84,0.86,0.78,0.76,0.76,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,,,,,,,,,0.22,0.22,0.22,0.2040816326530612,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.82,0.1818181818181818,0.82,0.1818181818181818,0.8,0.1666666666666666,0.82,0.25,0.8,0.1666666666666666,0.8,0.1666666666666666,2.0,rel,nll_cold,
4,/mathqi/mnissen/bm4tc/outputs/ecg200/nat/legendre/d3r10c64/seed_sweep/cold_a1_2707/4,ecg200,5,42,1.0,,0.82,0.4428938329219818,4.557867527008057,0.66,0.28,0.08,0.82,-4.114973545074463,0.66,0.26,0.06,0.08,0.16,0.2,0.36,0.26,0.42,0.58,0.78,0.56,0.68,0.76,0.86,0.5,0.625,0.6,0.4444444444444444,0.7692307692307693,0.7142857142857143,0.7241379310344828,0.717948717948718,0.9642857142857144,0.9705882352941176,0.9736842105263158,0.9767441860465116,0.3260869565217391,0.2857142857142857,0.275,0.28125,0.7297297297297297,0.7586206896551724,0.7619047619047619,0.8181818181818182,0.9090909090909092,0.875,0.8333333333333334,0.7142857142857143,0.74,0.2941176470588235,0.78,0.3529411764705882,0.66,0.5405405405405406,0.7,0.5945945945945946,0.48,0.4468085106382978,0.64,0.6170212765957447,0.84,0.82,0.78,0.8,0.76,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,0.22,0.22,0.22,0.2244897959183673,0.2,0.2,0.2,0.2,0.24,0.24,0.24,0.24,0.78,0.1818181818181818,0.78,0.1818181818181818,0.78,0.0,0.8,0.1,0.76,0.0833333333333333,0.78,0.0833333333333333,2.0,rel,nll_cold,
5,/mathqi/mnissen/bm4tc/outputs/ecg200/nat/legendre/d3r10c64/seed_sweep/cold_a1_2707/5,ecg200,6,42,1.0,,0.82,0.4894955456256866,4.842874050140381,0.66,0.36,0.12,0.82,-4.3533782958984375,0.66,0.36,0.16,0.08,0.1,0.18,0.3,0.24,0.32,0.54,0.64,0.54,0.64,0.82,0.84,0.75,0.6,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.75,0.7037037037037037,0.71875,0.8518518518518519,0.84375,0.8048780487804879,0.8095238095238095,0.3043478260869565,0.3111111111111111,0.2682926829268293,0.2,0.5789473684210527,0.5882352941176471,0.5652173913043478,0.5,0.8260869565217391,0.8333333333333334,1.0,1.0,0.76,0.2941176470588235,0.78,0.3529411764705882,0.62,0.40625,0.68,0.5,0.48,0.3809523809523809,0.54,0.4523809523809524,0.82,0.82,0.8,0.8,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.22,0.22,0.22,0.22,0.8,0.0,0.8,0.0,0.8,0.0,0.8,0.0,0.76,0.0,0.76,0.0,2.0,rel,nll_cold,
6,/mathqi/mnissen/bm4tc/outputs/ecg200/nat/legendre/d3r10c64/seed_sweep/cold_a1_2707/6,ecg200,7,42,1.0,,0.82,0.4958866834640503,4.241470813751221,0.68,0.42,0.14,0.82,-3.7455837726593018,0.7,0.42,0.14,0.1,0.12,0.12,0.26,0.34,0.38,0.54,0.74,0.62,0.68,0.78,0.88,0.6,0.6666666666666666,0.6666666666666666,0.5384615384615384,0.7058823529411765,0.6842105263157895,0.7037037037037037,0.6216216216216216,0.8387096774193549,0.8529411764705882,0.8717948717948718,0.8863636363636364,0.2666666666666666,0.25,0.25,0.2162162162162162,0.5151515151515151,0.5161290322580645,0.4347826086956521,0.4615384615384615,0.8947368421052632,0.875,0.8181818181818182,0.6666666666666666,0.76,0.4,0.78,0.4666666666666667,0.68,0.4482758620689655,0.7,0.4827586206896552,0.46,0.3720930232558139,0.48,0.3953488372093023,0.82,0.82,0.84,0.8,0.8,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,0.16,0.16,0.16,0.1632653061224489,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.8,0.0,0.8,0.0,0.8,0.0,0.8,0.0,0.8,0.0,0.78,0.0,2.0,rel,nll_cold,
7,/mathqi/mnissen/bm4tc/outputs/ecg200/nat/legendre/d3r10c64/seed_sweep/cold_a1_2707/7,ecg200,8,42,1.0,,0.84,0.4932251572608948,4.529504299163818,0.62,0.54,0.3,0.84,-4.036279201507568,0.62,0.52,0.24,0.08,0.14,0.2,0.24,0.14,0.22,0.34,0.42,0.46,0.66,0.68,0.78,0.75,0.8571428571428571,0.8,0.75,0.7142857142857143,0.6363636363636364,0.7647058823529411,0.7619047619047619,0.8260869565217391,0.8181818181818182,0.8235294117647058,0.8205128205128205,0.3478260869565217,0.3023255813953488,0.275,0.2631578947368421,0.4418604651162791,0.4358974358974359,0.3333333333333333,0.2758620689655172,0.7037037037037037,0.6470588235294118,0.625,0.5454545454545454,0.76,0.4210526315789473,0.78,0.4736842105263157,0.68,0.3333333333333333,0.72,0.4166666666666667,0.58,0.4473684210526316,0.7,0.6052631578947368,0.82,0.8,0.82,0.8,0.76,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,,,,,,,,,0.18,0.18,0.18,0.1632653061224489,0.2,0.2,0.2,0.2,0.24,0.24,0.24,0.24,0.82,0.1111111111111111,0.82,0.1111111111111111,0.8,0.0,0.8,0.0,0.76,0.0833333333333333,0.76,0.0833333333333333,2.0,rel,nll_cold,
8,/mathqi/mnissen/bm4tc/outputs/ecg200/nat/legendre/d3r10c64/seed_sweep/cold_a1_2707/8,ecg200,9,42,1.0,,0.84,0.5407717227935791,4.442867755889893,0.68,0.42,0.18,0.84,-3.9020960330963135,0.66,0.38,0.18,0.08,0.16,0.16,0.32,0.16,0.34,0.38,0.48,0.44,0.6,0.66,0.8,0.5,0.625,0.625,0.5,0.75,0.7058823529411765,0.7368421052631579,0.7083333333333334,0.8181818181818182,0.8,0.8181818181818182,0.825,0.3260869565217391,0.2857142857142857,0.2857142857142857,0.2647058823529412,0.5952380952380952,0.5757575757575758,0.5483870967741935,0.5384615384615384,0.8214285714285714,0.85,0.8235294117647058,0.8,0.76,0.2941176470588235,0.8,0.4117647058823529,0.62,0.3870967741935484,0.66,0.4516129032258064,0.46,0.3414634146341463,0.58,0.4878048780487805,0.84,0.84,0.84,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.16,0.16,0.16,0.16,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.82,0.0,0.82,0.0,0.82,0.1,0.8,0.1,0.76,0.0,0.78,0.1,2.0,rel,nll_cold,
9,/mathqi/mnissen/bm4tc/outputs/ecg200/nat/legendre/d3r10c64/seed_sweep/cold_a1_2707/9,ecg200,10,42,1.0,,0.8,0.4597140252590179,4.779326438903809,0.64,0.36,0.1,0.8,-4.319612979888916,0.68,0.34,0.14,0.14,0.18,0.22,0.34,0.4,0.52,0.6,0.7,0.64,0.76,0.76,0.88,0.5714285714285714,0.5555555555555556,0.6363636363636364,0.5294117647058824,0.7,0.6923076923076923,0.7,0.6571428571428571,0.875,0.8421052631578947,0.8421052631578947,0.8409090909090909,0.2790697674418604,0.2682926829268293,0.2307692307692307,0.2121212121212121,0.6333333333333333,0.625,0.6,0.6666666666666666,0.8333333333333334,0.9166666666666666,0.9166666666666666,1.0,0.76,0.375,0.8,0.5,0.62,0.4242424242424242,0.7,0.5454545454545454,0.46,0.3720930232558139,0.58,0.5116279069767442,0.82,0.8,0.84,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.16,0.16,0.16,0.16,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.8,0.0,0.8,0.0,0.8,0.0,0.8,0.0,0.8,0.0,0.8,0.0,2.0,rel,nll_cold,
