run_name,run_path,config/dataset.name,config/tracking.seed,config/dataset.gen_dow_kwargs.seed,config/trainer.nll.alpha,config/trainer.adversarial.alpha,acc,dis_loss,gen_loss,rob/0.05,rob/0.1,rob/0.15,uq_clean_accuracy,uq_clean_log_px_mean,uq_adv_acc/0.05,uq_adv_acc/0.1,uq_adv_acc/0.15,uq_detection/1pct/0.05,uq_detection/5pct/0.05,uq_detection/10pct/0.05,uq_detection/20pct/0.05,uq_detection/1pct/0.1,uq_detection/5pct/0.1,uq_detection/10pct/0.1,uq_detection/20pct/0.1,uq_detection/1pct/0.15,uq_detection/5pct/0.15,uq_detection/10pct/0.15,uq_detection/20pct/0.15,uq_det_err_detected/1pct/0.05,uq_det_err_detected/5pct/0.05,uq_det_err_detected/10pct/0.05,uq_det_err_detected/20pct/0.05,uq_det_err_detected/1pct/0.1,uq_det_err_detected/5pct/0.1,uq_det_err_detected/10pct/0.1,uq_det_err_detected/20pct/0.1,uq_det_err_detected/1pct/0.15,uq_det_err_detected/5pct/0.15,uq_det_err_detected/10pct/0.15,uq_det_err_detected/20pct/0.15,uq_det_err_passed/1pct/0.05,uq_det_err_passed/5pct/0.05,uq_det_err_passed/10pct/0.05,uq_det_err_passed/20pct/0.05,uq_det_err_passed/1pct/0.1,uq_det_err_passed/5pct/0.1,uq_det_err_passed/10pct/0.1,uq_det_err_passed/20pct/0.1,uq_det_err_passed/1pct/0.15,uq_det_err_passed/5pct/0.15,uq_det_err_passed/10pct/0.15,uq_det_err_passed/20pct/0.15,uq_purify_acc/0.05/0.1,uq_purify_recovery/0.05/0.1,uq_purify_acc/0.05/0.15,uq_purify_recovery/0.05/0.15,uq_purify_acc/0.1/0.1,uq_purify_recovery/0.1/0.1,uq_purify_acc/0.1/0.15,uq_purify_recovery/0.1/0.15,uq_purify_acc/0.15/0.1,uq_purify_recovery/0.15/0.1,uq_purify_acc/0.15/0.15,uq_purify_recovery/0.15/0.15,uq_clean_purify_acc/0.1,uq_clean_purify_acc/0.15,uq_joint_adv_acc/0.05,uq_joint_adv_acc/0.1,uq_joint_adv_acc/0.15,uq_joint_detection/1pct/0.05,uq_joint_detection/5pct/0.05,uq_joint_detection/10pct/0.05,uq_joint_detection/20pct/0.05,uq_joint_detection/1pct/0.1,uq_joint_detection/5pct/0.1,uq_joint_detection/10pct/0.1,uq_joint_detection/20pct/0.1,uq_joint_detection/1pct/0.15,uq_joint_detection/5pct/0.15,uq_joint_detection/10pct/0.15,uq_joint_detection/20pct/0.15,uq_joint_det_err_detected/1pct/0.05,uq_joint_det_err_detected/5pct/0.05,uq_joint_det_err_detected/10pct/0.05,uq_joint_det_err_detected/20pct/0.05,uq_joint_det_err_detected/1pct/0.1,uq_joint_det_err_detected/5pct/0.1,uq_joint_det_err_detected/10pct/0.1,uq_joint_det_err_detected/20pct/0.1,uq_joint_det_err_detected/1pct/0.15,uq_joint_det_err_detected/5pct/0.15,uq_joint_det_err_detected/10pct/0.15,uq_joint_det_err_detected/20pct/0.15,uq_joint_det_err_passed/1pct/0.05,uq_joint_det_err_passed/5pct/0.05,uq_joint_det_err_passed/10pct/0.05,uq_joint_det_err_passed/20pct/0.05,uq_joint_det_err_passed/1pct/0.1,uq_joint_det_err_passed/5pct/0.1,uq_joint_det_err_passed/10pct/0.1,uq_joint_det_err_passed/20pct/0.1,uq_joint_det_err_passed/1pct/0.15,uq_joint_det_err_passed/5pct/0.15,uq_joint_det_err_passed/10pct/0.15,uq_joint_det_err_passed/20pct/0.15,uq_joint_purify_acc/0.05/0.1,uq_joint_purify_recovery/0.05/0.1,uq_joint_purify_acc/0.05/0.15,uq_joint_purify_recovery/0.05/0.15,uq_joint_purify_acc/0.1/0.1,uq_joint_purify_recovery/0.1/0.1,uq_joint_purify_acc/0.1/0.15,uq_joint_purify_recovery/0.1/0.15,uq_joint_purify_acc/0.15/0.1,uq_joint_purify_recovery/0.15/0.1,uq_joint_purify_acc/0.15/0.15,uq_joint_purify_recovery/0.15/0.15,range_size,eps_unit
0,/mathqi/mnissen/bm4tc/outputs/ecg200/nat/legendre/d3r20c64/seed_sweep_a0_2707/0,ecg200,1,42,0.0,,0.8,0.5521036386489868,63.58710861206055,0.56,0.08,0.0,0.8,-63.035003662109375,0.56,0.08,0.0,0.14,0.24,0.26,0.32,0.24,0.34,0.34,0.34,0.24,0.34,0.34,0.34,0.5714285714285714,0.6666666666666666,0.6153846153846154,0.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4186046511627907,0.3684210526315789,0.3783783783783784,0.3529411764705882,0.8947368421052632,0.8787878787878788,0.8787878787878788,0.8787878787878788,1.0,1.0,1.0,1.0,0.76,0.4545454545454545,0.78,0.5,0.68,0.6521739130434783,0.74,0.717391304347826,0.48,0.48,0.64,0.64,0.8,0.8,0.78,0.7,0.68,0.0,0.0,0.02,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.25,,,,,,,,,0.22,0.22,0.2244897959183673,0.217391304347826,0.3,0.3,0.3,0.3,0.32,0.32,0.32,0.32,0.76,0.0909090909090909,0.76,0.0909090909090909,0.76,0.2,0.76,0.2,0.76,0.25,0.76,0.25,2.0,rel
1,/mathqi/mnissen/bm4tc/outputs/ecg200/nat/legendre/d3r20c64/seed_sweep_a0_2707/1,ecg200,2,42,0.0,,0.8,0.5811619162559509,64.9940414428711,0.36,0.0,0.0,0.8,-64.41288757324219,0.36,0.0,0.0,0.14,0.18,0.24,0.28,0.22,0.24,0.28,0.32,0.2,0.26,0.32,0.34,0.5714285714285714,0.6666666666666666,0.6666666666666666,0.6428571428571429,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6511627906976745,0.6341463414634146,0.631578947368421,0.6388888888888888,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.25,0.58,0.375,0.16,0.16,0.2,0.2,0.14,0.14,0.24,0.24,0.8,0.78,0.64,0.34,0.2,0.02,0.04,0.08,0.1,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6,,,,1.0,,,,,0.3673469387755102,0.375,0.3478260869565217,0.3333333333333333,0.66,0.66,0.66,0.6530612244897959,0.8,0.8,0.8,0.8,0.7,0.2222222222222222,0.74,0.3333333333333333,0.56,0.3333333333333333,0.6,0.3939393939393939,0.42,0.275,0.48,0.35,2.0,rel
2,/mathqi/mnissen/bm4tc/outputs/ecg200/nat/legendre/d3r20c64/seed_sweep_a0_2707/2,ecg200,3,42,0.0,,0.72,0.5514294505119324,65.67818450927734,0.14,0.02,0.02,0.72,-65.12675476074219,0.14,0.0,0.02,0.12,0.22,0.28,0.3,0.16,0.24,0.3,0.32,0.08,0.26,0.3,0.32,1.0,0.8181818181818182,0.8571428571428571,0.8,1.0,1.0,1.0,1.0,1.0,0.9230769230769232,0.9333333333333332,0.9375,0.8409090909090909,0.8717948717948718,0.8611111111111112,0.8857142857142857,1.0,1.0,1.0,1.0,0.9782608695652174,1.0,1.0,1.0,0.36,0.3488372093023256,0.4,0.3953488372093023,0.34,0.34,0.4,0.4,0.34,0.3265306122448979,0.4,0.3877551020408163,0.42,0.4,0.34,0.2,0.26,0.0,0.04,0.06,0.08,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,,1.0,0.6666666666666666,0.75,,,,0.6666666666666666,,,,,0.66,0.6458333333333334,0.6595744680851063,0.6521739130434783,0.8,0.8,0.8,0.8085106382978723,0.74,0.74,0.74,0.74,0.38,0.2727272727272727,0.42,0.3333333333333333,0.42,0.275,0.42,0.275,0.4,0.1891891891891892,0.42,0.2162162162162162,2.0,rel
3,/mathqi/mnissen/bm4tc/outputs/ecg200/nat/legendre/d3r20c64/seed_sweep_a0_2707/3,ecg200,4,42,0.0,,0.66,0.7478361129760742,64.58760833740234,0.38,0.08,0.0,0.66,-63.83977508544922,0.38,0.08,0.0,0.08,0.18,0.24,0.28,0.08,0.18,0.24,0.28,0.12,0.18,0.24,0.28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5869565217391305,0.5365853658536586,0.5,0.4722222222222222,0.9130434782608696,0.902439024390244,0.8947368421052632,0.8888888888888888,1.0,1.0,1.0,1.0,0.72,0.5483870967741935,0.74,0.5806451612903226,0.5,0.4565217391304347,0.62,0.5869565217391305,0.26,0.26,0.34,0.34,0.78,0.76,0.64,0.64,0.56,0.0,0.02,0.02,0.06,0.0,0.02,0.02,0.02,0.0,0.0,0.0,0.0,,1.0,1.0,0.3333333333333333,,1.0,1.0,1.0,,,,,0.36,0.3469387755102041,0.3469387755102041,0.3617021276595745,0.36,0.3469387755102041,0.3469387755102041,0.3469387755102041,0.44,0.44,0.44,0.44,0.72,0.2222222222222222,0.72,0.2222222222222222,0.72,0.2222222222222222,0.72,0.2222222222222222,0.68,0.2727272727272727,0.7,0.3181818181818182,2.0,rel
4,/mathqi/mnissen/bm4tc/outputs/ecg200/nat/legendre/d3r20c64/seed_sweep_a0_2707/4,ecg200,5,42,0.0,,0.78,0.5216689109802246,64.77798461914062,0.5,0.08,0.0,0.78,-64.2563247680664,0.52,0.08,0.0,0.18,0.2,0.2,0.26,0.2,0.24,0.24,0.3,0.16,0.24,0.3,0.3,0.7777777777777778,0.7,0.7,0.6923076923076923,1.0,1.0,1.0,0.8666666666666667,1.0,1.0,1.0,1.0,0.4146341463414634,0.425,0.425,0.4054054054054054,0.9,0.8947368421052632,0.8947368421052632,0.9428571428571428,1.0,1.0,1.0,1.0,0.7,0.375,0.74,0.4583333333333333,0.6,0.5652173913043478,0.64,0.6086956521739131,0.34,0.34,0.48,0.48,0.8,0.8,0.68,0.62,0.58,0.0,0.0,0.04,0.14,0.0,0.02,0.02,0.04,0.0,0.0,0.0,0.02,,,0.0,0.2857142857142857,,0.0,0.0,0.0,,,,1.0,0.32,0.32,0.3333333333333333,0.3255813953488372,0.38,0.3877551020408163,0.3877551020408163,0.3958333333333333,0.42,0.42,0.42,0.4081632653061224,0.76,0.25,0.78,0.3125,0.66,0.1052631578947368,0.66,0.1052631578947368,0.62,0.0952380952380952,0.64,0.1428571428571428,2.0,rel
5,/mathqi/mnissen/bm4tc/outputs/ecg200/nat/legendre/d3r20c64/seed_sweep_a0_2707/5,ecg200,6,42,0.0,,0.82,0.479278564453125,65.3302230834961,0.6,0.16,0.02,0.82,-64.85094451904297,0.62,0.16,0.02,0.06,0.1,0.2,0.34,0.14,0.24,0.3,0.36,0.2,0.32,0.34,0.4,0.6666666666666666,0.8,0.7,0.5294117647058824,1.0,0.9166666666666666,0.8666666666666667,0.7777777777777778,1.0,0.9375,0.9411764705882352,0.95,0.3617021276595745,0.3333333333333333,0.3,0.303030303030303,0.813953488372093,0.8157894736842105,0.8285714285714286,0.875,0.975,1.0,1.0,1.0,0.74,0.3157894736842105,0.74,0.3157894736842105,0.66,0.5952380952380952,0.68,0.6190476190476191,0.38,0.3673469387755102,0.52,0.5102040816326531,0.82,0.8,0.76,0.6,0.58,0.0,0.02,0.04,0.18,0.0,0.0,0.02,0.1,0.0,0.0,0.0,0.0,,1.0,1.0,0.4444444444444444,,,1.0,0.8,,,,,0.24,0.2244897959183673,0.2083333333333333,0.1951219512195122,0.4,0.4,0.3877551020408163,0.3555555555555555,0.42,0.42,0.42,0.42,0.78,0.1666666666666666,0.78,0.1666666666666666,0.74,0.35,0.76,0.4,0.7,0.2857142857142857,0.72,0.3333333333333333,2.0,rel
6,/mathqi/mnissen/bm4tc/outputs/ecg200/nat/legendre/d3r20c64/seed_sweep_a0_2707/6,ecg200,7,42,0.0,,0.82,0.5603404641151428,64.7325439453125,0.54,0.32,0.04,0.82,-64.17220306396484,0.54,0.32,0.08,0.1,0.16,0.24,0.26,0.14,0.22,0.24,0.3,0.14,0.18,0.24,0.3,1.0,1.0,0.9166666666666666,0.9230769230769232,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.3571428571428571,0.3157894736842105,0.2972972972972973,0.627906976744186,0.5897435897435898,0.5789473684210527,0.5428571428571428,0.9069767441860463,0.902439024390244,0.8947368421052632,0.8857142857142857,0.74,0.4347826086956521,0.74,0.4347826086956521,0.72,0.5882352941176471,0.74,0.6176470588235294,0.66,0.6304347826086957,0.7,0.6739130434782609,0.8,0.82,0.68,0.64,0.64,0.0,0.0,0.04,0.06,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,,,0.5,0.6666666666666666,,,1.0,1.0,,,,,0.32,0.32,0.3125,0.2978723404255319,0.36,0.36,0.3469387755102041,0.3469387755102041,0.36,0.36,0.36,0.36,0.74,0.25,0.72,0.3125,0.62,0.0555555555555555,0.62,0.1111111111111111,0.64,0.0555555555555555,0.66,0.1111111111111111,2.0,rel
7,/mathqi/mnissen/bm4tc/outputs/ecg200/nat/legendre/d3r20c64/seed_sweep_a0_2707/7,ecg200,8,42,0.0,,0.84,0.5018596053123474,65.42335510253906,0.34,0.0,0.0,0.84,-64.92150115966797,0.34,0.0,0.0,0.24,0.26,0.3,0.3,0.3,0.32,0.34,0.34,0.28,0.3,0.34,0.34,0.6666666666666666,0.6923076923076923,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6578947368421053,0.6486486486486487,0.6571428571428571,0.6571428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.5454545454545454,0.74,0.6060606060606061,0.38,0.38,0.52,0.52,0.24,0.24,0.3,0.3,0.82,0.82,0.78,0.68,0.68,0.0,0.02,0.02,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,1.0,,,,,0.22,0.2244897959183673,0.2244897959183673,0.2244897959183673,0.32,0.32,0.32,0.3061224489795918,0.32,0.32,0.32,0.32,0.78,0.0,0.76,0.0909090909090909,0.72,0.125,0.72,0.125,0.72,0.125,0.74,0.1875,2.0,rel
8,/mathqi/mnissen/bm4tc/outputs/ecg200/nat/legendre/d3r20c64/seed_sweep_a0_2707/8,ecg200,9,42,0.0,,0.78,0.4811105728149414,65.36483001708984,0.32,0.0,0.0,0.78,-64.88371276855469,0.32,0.0,0.0,0.14,0.18,0.26,0.26,0.2,0.22,0.28,0.32,0.14,0.22,0.28,0.3,1.0,0.8888888888888888,0.9230769230769232,0.9230769230769232,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.627906976744186,0.6341463414634146,0.5945945945945946,0.5945945945945946,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.32,0.3823529411764705,0.34,0.4117647058823529,0.32,0.32,0.32,0.32,0.32,0.32,0.34,0.34,0.7,0.58,0.6,0.22,0.22,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,0.4,0.4,0.4,0.4347826086956521,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.34,0.2,0.36,0.25,0.3,0.1025641025641025,0.32,0.1282051282051282,0.26,0.0512820512820512,0.3,0.1025641025641025,2.0,rel
9,/mathqi/mnissen/bm4tc/outputs/ecg200/nat/legendre/d3r20c64/seed_sweep_a0_2707/9,ecg200,10,42,0.0,,0.8,0.6754522323608398,65.30729675292969,0.64,0.4,0.04,0.8,-64.6318359375,0.64,0.38,0.02,0.14,0.2,0.3,0.36,0.26,0.28,0.28,0.32,0.22,0.24,0.3,0.32,0.5714285714285714,0.5,0.5333333333333333,0.5555555555555556,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3255813953488372,0.325,0.2857142857142857,0.25,0.4864864864864865,0.4722222222222222,0.4722222222222222,0.4411764705882353,0.9743589743589745,0.9736842105263158,0.9714285714285714,0.9705882352941176,0.72,0.2222222222222222,0.72,0.2222222222222222,0.68,0.4838709677419355,0.7,0.5161290322580645,0.54,0.5306122448979592,0.62,0.6122448979591837,0.82,0.82,0.74,0.7,0.68,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,0.26,0.26,0.26,0.2708333333333333,0.3,0.3,0.3,0.3,0.32,0.32,0.32,0.32,0.76,0.1538461538461538,0.76,0.1538461538461538,0.7,0.0,0.7,0.0,0.7,0.0625,0.7,0.0625,2.0,rel
