max_epoch,seed,run_path,range_size,eval/test/acc,eval/test/clsloss,eval/uq_clean_accuracy,eval/uq_adv_acc/0.2,eval/uq_adv_acc/0.4,eval/uq_adv_acc/1.0,eval/uq_detection/1pct/0.2,eval/uq_detection/5pct/0.2,eval/uq_detection/10pct/0.2,eval/uq_detection/20pct/0.2,eval/uq_detection/1pct/0.4,eval/uq_detection/5pct/0.4,eval/uq_detection/10pct/0.4,eval/uq_detection/20pct/0.4,eval/uq_detection/1pct/1.0,eval/uq_detection/5pct/1.0,eval/uq_detection/10pct/1.0,eval/uq_detection/20pct/1.0,eval/uq_purify_acc/0.2/0.2,eval/uq_purify_recovery/0.2/0.2,eval/uq_purify_acc/0.4/0.2,eval/uq_purify_recovery/0.4/0.2,eval/uq_purify_acc/1.0/0.2,eval/uq_purify_recovery/1.0/0.2,eval/test/rob/0.1,eval/test/rob/0.2,eval/test/rob/0.5,run_name,eval/test/genloss,eval/uq_clean_log_px_mean,eps_unit
0,1,outputs/seed_sweep/cls/legendre/d10D6/moons_4k_1203/0/models/moons_4k_pre_mps_bd6_legendre10_300adamlr0.041376293143363094wd1.1024958579569868e-09,2.0,1.0,6.656200559973513e-05,1.0,0.9595,0.64,0.328,0.2365,0.2905,0.357,0.4685,0.331,0.423,0.493,0.59,0.118,0.172,0.201,0.287,0.9745,0.4320987654320987,0.7125,0.2055555555555555,0.506,0.2983630952380952,0.9595,0.64,0.328,,,,rel
0,2,outputs/seed_sweep/cls/legendre/d10D6/moons_4k_1203/0/models/moons_4k_pre_mps_bd6_legendre10_300adamlr0.041376293143363094wd1.1024958579569868e-09,2.0,1.0,6.656200559973513e-05,1.0,0.9595,0.64,0.328,0.2365,0.2905,0.357,0.4685,0.331,0.423,0.493,0.59,0.118,0.172,0.201,0.287,0.9745,0.4320987654320987,0.7125,0.2055555555555555,0.506,0.2983630952380952,0.9595,0.64,0.328,,,,rel
0,3,outputs/seed_sweep/cls/legendre/d10D6/moons_4k_1203/0/models/moons_4k_pre_mps_bd6_legendre10_300adamlr0.041376293143363094wd1.1024958579569868e-09,2.0,1.0,6.656200559973513e-05,1.0,0.9595,0.64,0.328,0.2365,0.2905,0.357,0.4685,0.331,0.423,0.493,0.59,0.118,0.172,0.201,0.287,0.9745,0.4320987654320987,0.7125,0.2055555555555555,0.506,0.2983630952380952,0.9595,0.64,0.328,,,,rel
0,4,outputs/seed_sweep/cls/legendre/d10D6/moons_4k_1203/0/models/moons_4k_pre_mps_bd6_legendre10_300adamlr0.041376293143363094wd1.1024958579569868e-09,2.0,1.0,6.656200559973513e-05,1.0,0.9595,0.64,0.328,0.2365,0.2905,0.357,0.4685,0.331,0.423,0.493,0.59,0.118,0.172,0.201,0.287,0.9745,0.4320987654320987,0.7125,0.2055555555555555,0.506,0.2983630952380952,0.9595,0.64,0.328,,,,rel
0,5,outputs/seed_sweep/cls/legendre/d10D6/moons_4k_1203/0/models/moons_4k_pre_mps_bd6_legendre10_300adamlr0.041376293143363094wd1.1024958579569868e-09,2.0,1.0,6.656200559973513e-05,1.0,0.9595,0.64,0.328,0.2365,0.2905,0.357,0.4685,0.331,0.423,0.493,0.59,0.118,0.172,0.201,0.287,0.9745,0.4320987654320987,0.7125,0.2055555555555555,0.506,0.2983630952380952,0.9595,0.64,0.328,,,,rel
1,1,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/moons_4k_1503/0,2.0,1.0,0.0005329072700988,1.0,0.9535,0.643,0.3785,0.265,0.332,0.432,0.5015,0.3135,0.4055,0.4935,0.572,0.1155,0.1595,0.2305,0.308,0.9765,0.4946236559139785,0.7255,0.2324929971988795,0.564,0.3000804505229284,0.9535,0.643,0.3785,0.0,1.071094086393714,-1.0707991123199463,rel
1,2,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/moons_4k_1503/1,2.0,1.0,0.0003682121719066,1.0,0.9355,0.5605,0.3805,0.3105,0.466,0.5435,0.634,0.3485,0.4855,0.5565,0.6725,0.109,0.1695,0.2275,0.333,0.9745,0.6356589147286822,0.6365,0.1740614334470989,0.537,0.2792574656981436,0.9355,0.5605,0.3805,1.0,1.0405647214502096,-1.0411111116409302,rel
4,1,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/moons_4k_1503/10,2.0,1.0,0.0004954438809363,1.0,0.965,0.596,0.403,0.292,0.349,0.43,0.498,0.3835,0.465,0.542,0.613,0.1335,0.177,0.255,0.3465,0.9835,0.5285714285714286,0.6925,0.2388613861386138,0.575,0.2906197654941373,0.965,0.596,0.403,10.0,1.0617431178689003,-1.061781406402588,rel
4,2,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/moons_4k_1503/11,2.0,1.0,0.0002951833355382,1.0,0.9415,0.6055,0.3905,0.2685,0.407,0.4845,0.585,0.308,0.4335,0.536,0.6455,0.1155,0.1665,0.2625,0.3735,0.9695,0.4957264957264957,0.6835,0.2015209125475285,0.535,0.2690730106644791,0.9415,0.6055,0.3905,11.0,1.037387553602457,-1.037900686264038,rel
4,3,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/moons_4k_1503/12,2.0,1.0,0.000519610693118,1.0,0.954,0.6285,0.3805,0.301,0.4735,0.5665,0.6455,0.4425,0.5485,0.6245,0.7,0.124,0.1505,0.177,0.2695,0.9775,0.5108695652173914,0.708,0.2139973082099596,0.535,0.2752219531880548,0.954,0.6285,0.3805,12.0,1.0485142208635807,-1.0482096672058103,rel
4,4,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/moons_4k_1503/13,2.0,1.0,0.0003118370384527,1.0,0.9635,0.6815,0.3965,0.3,0.3545,0.4045,0.5565,0.3545,0.4205,0.4645,0.614,0.14,0.1965,0.2265,0.3115,0.984,0.6027397260273972,0.7355,0.1789638932496075,0.5435,0.2493786246893123,0.9635,0.6815,0.3965,13.0,1.0501513071358204,-1.050934672355652,rel
4,5,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/moons_4k_1503/14,2.0,1.0,0.0009087755333894,1.0,0.958,0.613,0.4155,0.2065,0.3405,0.4205,0.4855,0.3005,0.3925,0.4625,0.556,0.17,0.229,0.2925,0.3605,0.977,0.4761904761904761,0.6535,0.107235142118863,0.5095,0.2001710863986313,0.958,0.613,0.4155,14.0,1.065446525812149,-1.0652265548706057,rel
8,1,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/moons_4k_1503/15,2.0,1.0,0.0004256592897036,1.0,0.9625,0.6175,0.3925,0.2675,0.3255,0.4205,0.483,0.351,0.451,0.5305,0.6,0.1095,0.143,0.1785,0.286,0.9795,0.4533333333333333,0.709,0.2392156862745098,0.568,0.2921810699588477,0.9625,0.6175,0.3925,15.0,1.05945186316967,-1.0594826936721802,rel
8,2,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/moons_4k_1503/16,2.0,1.0,0.0002951833355382,1.0,0.942,0.595,0.389,0.2885,0.422,0.501,0.594,0.3275,0.448,0.5425,0.652,0.1165,0.1705,0.2645,0.3805,0.9795,0.646551724137931,0.6795,0.2086419753086419,0.552,0.292962356792144,0.942,0.595,0.389,16.0,1.037387553602457,-1.037900686264038,rel
8,3,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/moons_4k_1503/17,2.0,1.0,0.0003279327920608,1.0,0.9575,0.698,0.388,0.21,0.401,0.47,0.5425,0.3035,0.451,0.536,0.6185,0.1395,0.182,0.209,0.32,0.981,0.5529411764705883,0.7705,0.2400662251655629,0.5515,0.2933006535947712,0.9575,0.698,0.388,17.0,1.05225913785398,-1.0522875785827637,rel
8,4,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/moons_4k_1503/18,2.0,1.0,0.0003118370384527,1.0,0.9725,0.6735,0.4035,0.2855,0.3345,0.3815,0.5395,0.364,0.437,0.479,0.6205,0.1355,0.1865,0.211,0.3035,0.985,0.5272727272727272,0.743,0.222052067381317,0.5435,0.2363788767812238,0.9725,0.6735,0.4035,18.0,1.0501513071358204,-1.050934672355652,rel
8,5,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/moons_4k_1503/19,2.0,1.0,0.0007949100991027,1.0,0.958,0.621,0.443,0.2315,0.3305,0.4375,0.49,0.316,0.408,0.4885,0.581,0.1705,0.219,0.2475,0.33,0.9765,0.4761904761904761,0.6635,0.1147757255936675,0.5225,0.1840215439856373,0.958,0.621,0.443,19.0,1.0523169543594122,-1.052410364151001,rel
