max_epoch,seed,run_path,range_size,eval/test/acc,eval/test/clsloss,eval/uq_clean_accuracy,eval/uq_adv_acc/0.2,eval/uq_adv_acc/0.4,eval/uq_adv_acc/1.0,eval/uq_detection/1pct/0.2,eval/uq_detection/5pct/0.2,eval/uq_detection/10pct/0.2,eval/uq_detection/20pct/0.2,eval/uq_detection/1pct/0.4,eval/uq_detection/5pct/0.4,eval/uq_detection/10pct/0.4,eval/uq_detection/20pct/0.4,eval/uq_detection/1pct/1.0,eval/uq_detection/5pct/1.0,eval/uq_detection/10pct/1.0,eval/uq_detection/20pct/1.0,eval/uq_purify_acc/0.2/0.2,eval/uq_purify_recovery/0.2/0.2,eval/uq_purify_acc/0.4/0.2,eval/uq_purify_recovery/0.4/0.2,eval/uq_purify_acc/1.0/0.2,eval/uq_purify_recovery/1.0/0.2,eval/test/rob/0.1,eval/test/rob/0.2,eval/test/rob/0.5,run_name,eval/test/genloss,eval/uq_clean_log_px_mean,eps_unit
0,1,outputs/seed_sweep/cls/legendre/d10D6/spirals_4k_1203/10/models/spirals_4k_pre_mps_bd6_legendre10_300adamlr0.04360959649429807wd1.1168052931600827e-09,2.0,1.0,0.0001980259992251,1.0,0.741,0.3465,0.27,0.3225,0.36,0.3865,0.4685,0.1355,0.207,0.286,0.372,0.094,0.1325,0.1755,0.228,0.8025,0.2606177606177606,0.4995,0.2371843917368018,0.395,0.1931506849315068,0.741,0.3465,0.27,,,,rel
0,2,outputs/seed_sweep/cls/legendre/d10D6/spirals_4k_1203/10/models/spirals_4k_pre_mps_bd6_legendre10_300adamlr0.04360959649429807wd1.1168052931600827e-09,2.0,1.0,0.0001980259992251,1.0,0.741,0.3465,0.27,0.3225,0.36,0.3865,0.4685,0.1355,0.207,0.286,0.372,0.094,0.1325,0.1755,0.228,0.8025,0.2606177606177606,0.4995,0.2371843917368018,0.395,0.1931506849315068,0.741,0.3465,0.27,,,,rel
0,3,outputs/seed_sweep/cls/legendre/d10D6/spirals_4k_1203/10/models/spirals_4k_pre_mps_bd6_legendre10_300adamlr0.04360959649429807wd1.1168052931600827e-09,2.0,1.0,0.0001980259992251,1.0,0.741,0.3465,0.27,0.3225,0.36,0.3865,0.4685,0.1355,0.207,0.286,0.372,0.094,0.1325,0.1755,0.228,0.8025,0.2606177606177606,0.4995,0.2371843917368018,0.395,0.1931506849315068,0.741,0.3465,0.27,,,,rel
0,4,outputs/seed_sweep/cls/legendre/d10D6/spirals_4k_1203/10/models/spirals_4k_pre_mps_bd6_legendre10_300adamlr0.04360959649429807wd1.1168052931600827e-09,2.0,1.0,0.0001980259992251,1.0,0.741,0.3465,0.27,0.3225,0.36,0.3865,0.4685,0.1355,0.207,0.286,0.372,0.094,0.1325,0.1755,0.228,0.8025,0.2606177606177606,0.4995,0.2371843917368018,0.395,0.1931506849315068,0.741,0.3465,0.27,,,,rel
0,5,outputs/seed_sweep/cls/legendre/d10D6/spirals_4k_1203/10/models/spirals_4k_pre_mps_bd6_legendre10_300adamlr0.04360959649429807wd1.1168052931600827e-09,2.0,1.0,0.0001980259992251,1.0,0.741,0.3465,0.27,0.3225,0.36,0.3865,0.4685,0.1355,0.207,0.286,0.372,0.094,0.1325,0.1755,0.228,0.8025,0.2606177606177606,0.4995,0.2371843917368018,0.395,0.1931506849315068,0.741,0.3465,0.27,,,,rel
1,1,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/spirals_4k_1503/0,2.0,0.9595,0.1026779599487781,0.9595,0.6555,0.42,0.323,0.133,0.2985,0.3485,0.4475,0.058,0.2215,0.2835,0.3735,0.0135,0.084,0.144,0.201,0.854,0.6400580551523948,0.618,0.3603448275862069,0.522,0.3316100443131462,0.6555,0.42,0.323,0.0,1.924786452203989,-1.8258472681045528,rel
1,2,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/spirals_4k_1503/1,2.0,1.0,0.0011993561729468,1.0,0.8445,0.5795,0.329,0.1575,0.2375,0.3245,0.446,0.0705,0.1535,0.2545,0.396,0.0735,0.115,0.1645,0.2265,0.8625,0.1318327974276527,0.625,0.1082045184304399,0.452,0.1862891207153502,0.8445,0.5795,0.329,1.0,1.6612596474587915,-1.6622992753982544,rel
4,1,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/spirals_4k_1503/10,2.0,0.9645,0.0907468175282701,0.9645,0.674,0.432,0.3735,0.125,0.295,0.3535,0.445,0.05,0.2305,0.2955,0.413,0.0245,0.089,0.1595,0.2285,0.842,0.5506134969325154,0.6435,0.3785211267605634,0.5675,0.3328012769353551,0.674,0.432,0.3735,10.0,1.8985098972916603,-1.819049835205078,rel
4,2,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/spirals_4k_1503/11,2.0,1.0,0.0007301822233785,1.0,0.839,0.5445,0.2975,0.19,0.2695,0.331,0.4145,0.06,0.1445,0.225,0.3685,0.061,0.1025,0.153,0.201,0.854,0.1149068322981366,0.601,0.12403951701427,0.4365,0.198576512455516,0.839,0.5445,0.2975,11.0,1.656468816101551,-1.6582003831863403,rel
4,3,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/spirals_4k_1503/12,2.0,0.991,0.0660005667596124,0.991,0.586,0.318,0.293,0.0045,0.235,0.396,0.4985,0.0005,0.1535,0.3325,0.46,0.005,0.0955,0.1715,0.235,0.8275,0.5929951690821256,0.5485,0.3409090909090909,0.481,0.3019801980198019,0.586,0.318,0.293,12.0,1.7378051467239857,-1.6790705919265747,rel
4,4,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/spirals_4k_1503/13,2.0,1.0,0.0013238936153356,1.0,0.8485,0.4925,0.261,0.1555,0.2915,0.382,0.4555,0.0765,0.1995,0.271,0.345,0.068,0.1015,0.1445,0.206,0.8505,0.165016501650165,0.5975,0.2068965517241379,0.4275,0.2313937753721245,0.8485,0.4925,0.261,13.0,1.6427713371813295,-1.6378697156906128,rel
4,5,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/spirals_4k_1503/14,2.0,1.0,0.0013385403181018,1.0,0.8405,0.4945,0.237,0.153,0.225,0.28,0.3515,0.062,0.1245,0.1765,0.31,0.077,0.1005,0.1405,0.263,0.8585,0.1849529780564263,0.629,0.2660731948565776,0.4275,0.255570117955439,0.8405,0.4945,0.237,14.0,1.6683318130671978,-1.6646987199783323,rel
