max_epoch,seed,run_path,range_size,eval/test/acc,eval/test/clsloss,eval/uq_clean_accuracy,eval/uq_adv_acc/0.2,eval/uq_adv_acc/0.4,eval/uq_adv_acc/1.0,eval/uq_detection/1pct/0.2,eval/uq_detection/5pct/0.2,eval/uq_detection/10pct/0.2,eval/uq_detection/20pct/0.2,eval/uq_detection/1pct/0.4,eval/uq_detection/5pct/0.4,eval/uq_detection/10pct/0.4,eval/uq_detection/20pct/0.4,eval/uq_detection/1pct/1.0,eval/uq_detection/5pct/1.0,eval/uq_detection/10pct/1.0,eval/uq_detection/20pct/1.0,eval/uq_purify_acc/0.2/0.2,eval/uq_purify_recovery/0.2/0.2,eval/uq_purify_acc/0.4/0.2,eval/uq_purify_recovery/0.4/0.2,eval/uq_purify_acc/1.0/0.2,eval/uq_purify_recovery/1.0/0.2,eval/test/rob/0.2,eval/test/rob/0.4,eval/test/rob/1.0,run_name,eval/test/genloss,eval/uq_clean_log_px_mean
0,1,outputs/seed_sweep/cls/legendre/d10D6/circles_4k_1203/0/models/circles_4k_pre_mps_bd6_legendre10_300adamlr0.02931565161670948wd1.144288646991601e-05,2.0,1.0,4.976554464519722e-06,1.0,0.989,0.615,0.286,0.12,0.211,0.2685,0.431,0.248,0.343,0.425,0.557,0.081,0.1175,0.158,0.28,0.992,0.5,0.642,0.07012987012987013,0.3955,0.15336134453781514,0.989,0.615,0.286,,,
0,2,outputs/seed_sweep/cls/legendre/d10D6/circles_4k_1203/0/models/circles_4k_pre_mps_bd6_legendre10_300adamlr0.02931565161670948wd1.144288646991601e-05,2.0,1.0,4.976554464519722e-06,1.0,0.989,0.615,0.286,0.12,0.211,0.2685,0.431,0.248,0.343,0.425,0.557,0.081,0.1175,0.158,0.28,0.992,0.5,0.642,0.07012987012987013,0.3955,0.15336134453781514,0.989,0.615,0.286,,,
0,3,outputs/seed_sweep/cls/legendre/d10D6/circles_4k_1203/0/models/circles_4k_pre_mps_bd6_legendre10_300adamlr0.02931565161670948wd1.144288646991601e-05,2.0,1.0,4.976554464519722e-06,1.0,0.989,0.615,0.286,0.12,0.211,0.2685,0.431,0.248,0.343,0.425,0.557,0.081,0.1175,0.158,0.28,0.992,0.5,0.642,0.07012987012987013,0.3955,0.15336134453781514,0.989,0.615,0.286,,,
0,4,outputs/seed_sweep/cls/legendre/d10D6/circles_4k_1203/0/models/circles_4k_pre_mps_bd6_legendre10_300adamlr0.02931565161670948wd1.144288646991601e-05,2.0,1.0,4.976554464519722e-06,1.0,0.989,0.615,0.286,0.12,0.211,0.2685,0.431,0.248,0.343,0.425,0.557,0.081,0.1175,0.158,0.28,0.992,0.5,0.642,0.07012987012987013,0.3955,0.15336134453781514,0.989,0.615,0.286,,,
0,5,outputs/seed_sweep/cls/legendre/d10D6/circles_4k_1203/0/models/circles_4k_pre_mps_bd6_legendre10_300adamlr0.02931565161670948wd1.144288646991601e-05,2.0,1.0,4.976554464519722e-06,1.0,0.989,0.615,0.286,0.12,0.211,0.2685,0.431,0.248,0.343,0.425,0.557,0.081,0.1175,0.158,0.28,0.992,0.5,0.642,0.07012987012987013,0.3955,0.15336134453781514,0.989,0.615,0.286,,,
1,1,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/gen/legendre/d10D6/circles_4k_1303/0,,0.999,0.01639063094626181,0.999,0.8495,0.661,0.531,0.22,0.2875,0.3695,0.409,0.3375,0.397,0.4355,0.4725,0.2675,0.332,0.3755,0.4435,0.992,0.946843853820598,0.9335,0.855457227138643,0.65,0.39658848614072495,0.8495,0.661,0.531,0,0.5863078366965055,-0.5710934400558472
1,2,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/gen/legendre/d10D6/circles_4k_1303/1,,0.9975,0.018495688709663227,0.9975,0.869,0.7025,0.561,0.1775,0.2745,0.332,0.407,0.288,0.3635,0.422,0.4705,0.242,0.3345,0.3715,0.402,0.9775,0.8320610687022901,0.938,0.8319327731092437,0.704,0.438496583143508,0.869,0.7025,0.561,1,0.5713801514357328,-0.5584261417388916
4,1,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/gen/legendre/d10D6/circles_4k_1303/10,,0.998,0.014506362320389599,0.998,0.875,0.7015,0.544,0.1845,0.2485,0.3425,0.436,0.3035,0.353,0.4335,0.524,0.2695,0.376,0.41,0.457,0.972,0.804,0.916,0.7336683417085427,0.6555,0.34100877192982454,0.875,0.7015,0.544,10,0.5396475587040186,-0.526946485042572
4,2,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/gen/legendre/d10D6/circles_4k_1303/11,,1.0,0.01074705294740852,1.0,0.843,0.702,0.5625,0.2115,0.2375,0.305,0.396,0.308,0.347,0.389,0.454,0.2795,0.3775,0.41,0.469,0.979,0.8662420382165605,0.9195,0.7734899328859061,0.6215,0.2937142857142857,0.843,0.702,0.5625,11,0.547741299495101,-0.5375490784645081
4,3,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/gen/legendre/d10D6/circles_4k_1303/12,,1.0,0.012949251118698157,1.0,0.851,0.679,0.5645,0.1895,0.231,0.276,0.3755,0.3165,0.354,0.393,0.4635,0.291,0.389,0.4245,0.4755,0.9775,0.8489932885906041,0.9165,0.7601246105919003,0.685,0.42365097588978184,0.851,0.679,0.5645,12,0.5455968994647264,-0.5337519645690918
