max_epoch,seed,run_path,range_size,eval/test/acc,eval/test/clsloss,eval/uq_clean_accuracy,eval/uq_adv_acc/0.2,eval/uq_adv_acc/0.4,eval/uq_adv_acc/1.0,eval/uq_detection/1pct/0.2,eval/uq_detection/5pct/0.2,eval/uq_detection/10pct/0.2,eval/uq_detection/20pct/0.2,eval/uq_detection/1pct/0.4,eval/uq_detection/5pct/0.4,eval/uq_detection/10pct/0.4,eval/uq_detection/20pct/0.4,eval/uq_detection/1pct/1.0,eval/uq_detection/5pct/1.0,eval/uq_detection/10pct/1.0,eval/uq_detection/20pct/1.0,eval/uq_purify_acc/0.2/0.2,eval/uq_purify_recovery/0.2/0.2,eval/uq_purify_acc/0.4/0.2,eval/uq_purify_recovery/0.4/0.2,eval/uq_purify_acc/1.0/0.2,eval/uq_purify_recovery/1.0/0.2,eval/test/rob/0.2,eval/test/rob/0.4,eval/test/rob/1.0,run_name,eval/test/genloss,eval/uq_clean_log_px_mean
0,1,outputs/seed_sweep/cls/legendre/d10D6/spirals_4k_1203/10/models/spirals_4k_pre_mps_bd6_legendre10_300adamlr0.04360959649429807wd1.1168052931600827e-09,2.0,1.0,0.00019802599922513764,1.0,0.737,0.3395,0.2585,0.3255,0.3635,0.391,0.455,0.1145,0.185,0.2675,0.3525,0.0865,0.1265,0.168,0.236,0.7955,0.23954372623574144,0.501,0.2513247539742619,0.4135,0.222521915037087,0.737,0.3395,0.2585,,,
0,2,outputs/seed_sweep/cls/legendre/d10D6/spirals_4k_1203/10/models/spirals_4k_pre_mps_bd6_legendre10_300adamlr0.04360959649429807wd1.1168052931600827e-09,2.0,1.0,0.00019802599922513764,1.0,0.737,0.3395,0.2585,0.3255,0.3635,0.391,0.455,0.1145,0.185,0.2675,0.3525,0.0865,0.1265,0.168,0.236,0.7955,0.23954372623574144,0.501,0.2513247539742619,0.4135,0.222521915037087,0.737,0.3395,0.2585,,,
0,3,outputs/seed_sweep/cls/legendre/d10D6/spirals_4k_1203/10/models/spirals_4k_pre_mps_bd6_legendre10_300adamlr0.04360959649429807wd1.1168052931600827e-09,2.0,1.0,0.00019802599922513764,1.0,0.737,0.3395,0.2585,0.3255,0.3635,0.391,0.455,0.1145,0.185,0.2675,0.3525,0.0865,0.1265,0.168,0.236,0.7955,0.23954372623574144,0.501,0.2513247539742619,0.4135,0.222521915037087,0.737,0.3395,0.2585,,,
0,4,outputs/seed_sweep/cls/legendre/d10D6/spirals_4k_1203/10/models/spirals_4k_pre_mps_bd6_legendre10_300adamlr0.04360959649429807wd1.1168052931600827e-09,2.0,1.0,0.00019802599922513764,1.0,0.737,0.3395,0.2585,0.3255,0.3635,0.391,0.455,0.1145,0.185,0.2675,0.3525,0.0865,0.1265,0.168,0.236,0.7955,0.23954372623574144,0.501,0.2513247539742619,0.4135,0.222521915037087,0.737,0.3395,0.2585,,,
0,5,outputs/seed_sweep/cls/legendre/d10D6/spirals_4k_1203/10/models/spirals_4k_pre_mps_bd6_legendre10_300adamlr0.04360959649429807wd1.1168052931600827e-09,2.0,1.0,0.00019802599922513764,1.0,0.737,0.3395,0.2585,0.3255,0.3635,0.391,0.455,0.1145,0.185,0.2675,0.3525,0.0865,0.1265,0.168,0.236,0.7955,0.23954372623574144,0.501,0.2513247539742619,0.4135,0.222521915037087,0.737,0.3395,0.2585,,,
1,1,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/gen/legendre/d10D6/spirals_4k_1303/0,,1.0,0.0021013480891269865,1.0,0.7415,0.43,0.3145,0.3865,0.4435,0.479,0.527,0.1995,0.2645,0.3255,0.4435,0.154,0.179,0.2085,0.2885,0.8,0.23984526112185686,0.5545,0.22719298245614036,0.4665,0.24653537563822028,0.7415,0.43,0.3145,0,1.3417906761169434,-1.3408137559890747
1,2,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/gen/legendre/d10D6/spirals_4k_1303/1,,1.0,0.002066979786832235,1.0,0.749,0.415,0.2965,0.371,0.4305,0.4585,0.511,0.197,0.253,0.319,0.447,0.1555,0.185,0.2165,0.2805,0.807,0.26095617529880477,0.544,0.22735042735042735,0.451,0.23596304193319118,0.749,0.415,0.2965,1,1.3433532156050205,-1.342498779296875
4,1,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/gen/legendre/d10D6/spirals_4k_1303/10,,1.0,0.009826320070715155,1.0,0.78,0.49,0.3535,0.3845,0.48,0.573,0.69,0.31,0.423,0.5065,0.6205,0.192,0.238,0.294,0.3635,0.86,0.37727272727272726,0.616,0.24705882352941178,0.4995,0.23820572312451663,0.78,0.49,0.3535,10,1.0286058746278286,-1.0203102827072144
4,2,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/gen/legendre/d10D6/spirals_4k_1303/11,,1.0,0.009733903832966462,1.0,0.7815,0.497,0.352,0.367,0.455,0.56,0.682,0.3055,0.428,0.522,0.627,0.199,0.239,0.302,0.369,0.862,0.3890160183066362,0.6325,0.26938369781312127,0.4995,0.24228395061728394,0.7815,0.497,0.352,11,1.0297404192388058,-1.0216485261917114
4,3,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/gen/legendre/d10D6/spirals_4k_1303/12,,1.0,0.009670449377154,1.0,0.7945,0.5275,0.3365,0.386,0.4745,0.565,0.6785,0.2985,0.4395,0.5235,0.622,0.1815,0.2405,0.296,0.3685,0.8685,0.3771289537712895,0.6395,0.23703703703703705,0.4905,0.25018839487565936,0.7945,0.5275,0.3365,12,1.0302793495357037,-1.0221501588821411
