cls_epoch,seed,run_path,range_size,cls/eval/test/acc,cls/eval/test/clsloss,cls/eval/test/genloss,cls/eval/uq_clean_accuracy,cls/eval/uq_clean_log_px_mean,cls/eval/uq_adv_acc/0.2,cls/eval/uq_adv_acc/0.4,cls/eval/uq_adv_acc/1.0,cls/eval/uq_detection/1pct/0.2,cls/eval/uq_detection/5pct/0.2,cls/eval/uq_detection/10pct/0.2,cls/eval/uq_detection/20pct/0.2,cls/eval/uq_detection/1pct/0.4,cls/eval/uq_detection/5pct/0.4,cls/eval/uq_detection/10pct/0.4,cls/eval/uq_detection/20pct/0.4,cls/eval/uq_detection/1pct/1.0,cls/eval/uq_detection/5pct/1.0,cls/eval/uq_detection/10pct/1.0,cls/eval/uq_detection/20pct/1.0,cls/eval/uq_purify_acc/0.2/0.2,cls/eval/uq_purify_recovery/0.2/0.2,cls/eval/uq_purify_acc/0.4/0.2,cls/eval/uq_purify_recovery/0.4/0.2,cls/eval/uq_purify_acc/1.0/0.2,cls/eval/uq_purify_recovery/1.0/0.2,cls/eval/test/rob/0.2,cls/eval/test/rob/0.4,cls/eval/test/rob/1.0,gen/eval/test/acc,gen/eval/test/clsloss,gen/eval/test/genloss,gen/eval/uq_clean_accuracy,gen/eval/uq_clean_log_px_mean,gen/eval/uq_adv_acc/0.2,gen/eval/uq_adv_acc/0.4,gen/eval/uq_adv_acc/1.0,gen/eval/uq_detection/1pct/0.2,gen/eval/uq_detection/5pct/0.2,gen/eval/uq_detection/10pct/0.2,gen/eval/uq_detection/20pct/0.2,gen/eval/uq_detection/1pct/0.4,gen/eval/uq_detection/5pct/0.4,gen/eval/uq_detection/10pct/0.4,gen/eval/uq_detection/20pct/0.4,gen/eval/uq_detection/1pct/1.0,gen/eval/uq_detection/5pct/1.0,gen/eval/uq_detection/10pct/1.0,gen/eval/uq_detection/20pct/1.0,gen/eval/uq_purify_acc/0.2/0.2,gen/eval/uq_purify_recovery/0.2/0.2,gen/eval/uq_purify_acc/0.4/0.2,gen/eval/uq_purify_recovery/0.4/0.2,gen/eval/uq_purify_acc/1.0/0.2,gen/eval/uq_purify_recovery/1.0/0.2,gen/eval/test/rob/0.2,gen/eval/test/rob/0.4,gen/eval/test/rob/1.0
0,1,/home/ubuntu/adversarial_training_mps/outputs/dev_comb/clsgen/legendre/d10D6/circles_4k_1303/0,2.0,0.5005,0.6931471824645996,2.079441785812378,0.5005,-1.3862947225570679,0.5005,0.5005,0.5005,0.0,0.0,0.0,0.0,0.0035,0.0035,0.0035,0.0035,0.0425,0.0425,0.0425,0.0425,0.5005,0.0,0.5005,0.0,0.5005,0.0,0.5005,0.5005,0.5005,0.659,0.6415690518915653,2.0584055818617344,0.659,-1.4226973056793213,0.643,0.742,0.693,0.1,0.174,0.2035,0.379,0.074,0.1325,0.1605,0.498,0.081,0.1965,0.2655,0.5285,0.615,0.018207282913165267,0.7455,0.06782945736434108,0.695,0.13192182410423453,0.643,0.742,0.693
0,2,/home/ubuntu/adversarial_training_mps/outputs/dev_comb/clsgen/legendre/d10D6/circles_4k_1303/1,2.0,0.5005,0.6931471824645996,2.079441785812378,0.5005,-1.3862947225570679,0.5005,0.5005,0.5005,0.0005,0.0005,0.0005,0.0005,0.006,0.006,0.006,0.006,0.0465,0.0465,0.0465,0.0465,0.5005,0.0,0.5005,0.0,0.5005,0.0,0.5005,0.5005,0.5005,0.665,0.6502015758305788,1.5887789875268936,0.665,-0.9420684576034546,0.548,0.165,0.1845,0.0175,0.0315,0.0405,0.1535,0.3635,0.381,0.388,0.471,0.29,0.3575,0.376,0.476,0.5675,0.07411504424778761,0.56,0.47604790419161674,0.555,0.4855916615573268,0.548,0.165,0.1845
0,3,/home/ubuntu/adversarial_training_mps/outputs/dev_comb/clsgen/legendre/d10D6/circles_4k_1303/2,2.0,0.5005,0.6931471824645996,2.079441785812378,0.5005,-1.3862947225570679,0.5005,0.5005,0.5005,0.001,0.001,0.001,0.001,0.0195,0.0195,0.0195,0.0195,0.1065,0.1065,0.1065,0.1065,0.5005,0.0,0.5005,0.0,0.5005,0.0,0.5005,0.5005,0.5005,0.6575,0.6443475242704153,2.0081968382000923,0.6575,-1.3700093030929565,0.5995,0.665,0.6045,0.0835,0.121,0.1475,0.3065,0.0875,0.2035,0.2575,0.5095,0.274,0.4105,0.463,0.5425,0.5775,0.008739076154806492,0.6785,0.06567164179104477,0.6895,0.2629582806573957,0.5995,0.665,0.6045
0,4,/home/ubuntu/adversarial_training_mps/outputs/dev_comb/clsgen/legendre/d10D6/circles_4k_1303/3,2.0,0.5005,0.6931471824645996,2.079441785812378,0.5005,-1.3862947225570679,0.5005,0.5005,0.5005,0.0,0.0,0.0,0.0,0.0085,0.0085,0.0085,0.0085,0.0385,0.0385,0.0385,0.0385,0.5005,0.0,0.5005,0.0,0.5005,0.0,0.5005,0.5005,0.5005,0.659,0.6389053221791983,1.9644438996911049,0.659,-1.331048846244812,0.5625,0.511,0.4165,0.0235,0.0315,0.0385,0.1515,0.0835,0.16,0.2565,0.459,0.1675,0.267,0.353,0.4635,0.5755,0.046857142857142854,0.5735,0.13496932515337423,0.593,0.3324764353041988,0.5625,0.511,0.4165
0,5,/home/ubuntu/adversarial_training_mps/outputs/dev_comb/clsgen/legendre/d10D6/circles_4k_1303/4,2.0,0.5005,0.6931471824645996,2.079441785812378,0.5005,-1.3862947225570679,0.5005,0.5005,0.5005,0.0,0.0,0.0,0.0,0.009,0.009,0.009,0.009,0.0665,0.0665,0.0665,0.0665,0.5005,0.0,0.5005,0.0,0.5005,0.0,0.5005,0.5005,0.5005,0.6485,0.6390038169920444,1.9862685203552246,0.6485,-1.3514994382858276,0.557,0.4745,0.3995,0.0145,0.0205,0.0285,0.131,0.2,0.227,0.241,0.3475,0.1935,0.251,0.276,0.392,0.5485,0.01805869074492099,0.5755,0.19600380589914368,0.63,0.42048293089092426,0.557,0.4745,0.3995
1,1,/home/ubuntu/adversarial_training_mps/outputs/dev_comb/clsgen/legendre/d10D6/circles_4k_1303/5,2.0,0.9395,0.5046544373035431,2.1514776572585106,0.9395,-1.6426002979278564,0.312,0.192,0.09,0.0035,0.007,0.028,0.0865,0.0015,0.0015,0.006,0.022,0.005,0.016,0.021,0.0485,0.51,0.33430232558139533,0.2685,0.10643564356435643,0.185,0.10934065934065934,0.312,0.192,0.09,0.9145,0.226348624099046,1.2728041633963585,0.9145,-1.0476558208465576,0.3975,0.1945,0.2845,0.019,0.0585,0.1335,0.2035,0.0185,0.061,0.1465,0.261,0.047,0.094,0.2105,0.3235,0.634,0.4199170124481328,0.618,0.5363128491620112,0.487,0.3473095737246681,0.3975,0.1945,0.2845
1,2,/home/ubuntu/adversarial_training_mps/outputs/dev_comb/clsgen/legendre/d10D6/circles_4k_1303/6,2.0,0.8525,0.5773601457476616,1.9836158230900764,0.8525,-1.4063464403152466,0.231,0.0995,0.084,0.03,0.048,0.1185,0.252,0.016,0.0295,0.049,0.1615,0.103,0.123,0.1695,0.226,0.3525,0.21456436931079323,0.144,0.0843975569128262,0.076,0.04093886462882096,0.231,0.0995,0.084,0.68,0.6009872611612082,1.9769721813499928,0.68,-1.382188081741333,0.5735,0.494,0.5695,0.05,0.093,0.111,0.25,0.1345,0.201,0.232,0.3875,0.044,0.092,0.1245,0.3515,0.587,0.05861664712778429,0.5845,0.2025691699604743,0.615,0.13937282229965156,0.5735,0.494,0.5695
1,3,/home/ubuntu/adversarial_training_mps/outputs/dev_comb/clsgen/legendre/d10D6/circles_4k_1303/7,2.0,0.9185,0.3528682477772236,1.868252258747816,0.9185,-1.5152063369750977,0.503,0.199,0.149,0.0055,0.0495,0.1595,0.266,0.009,0.0445,0.1895,0.2585,0.0075,0.037,0.1685,0.192,0.332,0.20321931589537223,0.1775,0.0898876404494382,0.13,0.06933019976498238,0.503,0.199,0.149,0.9965,0.12179022724740207,0.9534074738621712,0.9965,-0.8360288739204407,0.8305,0.6975,0.564,0.177,0.213,0.2515,0.309,0.2565,0.3055,0.334,0.3815,0.2065,0.283,0.334,0.406,0.9585,0.7846607669616519,0.8525,0.5603305785123966,0.627,0.22591743119266056,0.8305,0.6975,0.564
1,4,/home/ubuntu/adversarial_training_mps/outputs/dev_comb/clsgen/legendre/d10D6/circles_4k_1303/8,2.0,0.937,0.2496617417782545,2.0159267224371433,0.937,-1.7669426202774048,0.498,0.2525,0.1355,0.0,0.024,0.0375,0.0915,0.0,0.017,0.0215,0.0595,0.0045,0.023,0.1095,0.254,0.5825,0.4103585657370518,0.404,0.23678929765886286,0.309,0.2203585887796414,0.498,0.2525,0.1355,0.952,0.14869321137666702,1.2402517851442099,0.952,-1.0983576774597168,0.64,0.4855,0.418,0.1695,0.268,0.3695,0.4265,0.1855,0.342,0.5045,0.615,0.084,0.1475,0.282,0.3795,0.8105,0.4861111111111111,0.744,0.5558794946550049,0.546,0.31099656357388317,0.64,0.4855,0.418
1,5,/home/ubuntu/adversarial_training_mps/outputs/dev_comb/clsgen/legendre/d10D6/circles_4k_1303/9,2.0,0.9215,0.41045576240867376,2.081031609326601,0.9215,-1.6733702421188354,0.544,0.256,0.182,0.001,0.015,0.0195,0.0335,0.0105,0.0205,0.025,0.0295,0.0165,0.057,0.0925,0.1375,0.391,0.24561403508771928,0.2835,0.15591397849462366,0.2,0.10880195599022005,0.544,0.256,0.182,0.8845,0.33491241093724966,1.4348730146884918,0.8845,-1.1030853986740112,0.6545,0.614,0.5625,0.104,0.173,0.1975,0.259,0.0695,0.1655,0.2415,0.3655,0.0495,0.149,0.229,0.3555,0.7075,0.19826338639652677,0.7105,0.2759067357512953,0.634,0.2765714285714286,0.6545,0.614,0.5625
