cls_epoch,seed,run_path,range_size,cls/eval/test/acc,cls/eval/test/clsloss,cls/eval/test/genloss,cls/eval/uq_clean_accuracy,cls/eval/uq_clean_log_px_mean,cls/eval/uq_adv_acc/0.2,cls/eval/uq_adv_acc/0.4,cls/eval/uq_adv_acc/1.0,cls/eval/uq_detection/1pct/0.2,cls/eval/uq_detection/5pct/0.2,cls/eval/uq_detection/10pct/0.2,cls/eval/uq_detection/20pct/0.2,cls/eval/uq_detection/1pct/0.4,cls/eval/uq_detection/5pct/0.4,cls/eval/uq_detection/10pct/0.4,cls/eval/uq_detection/20pct/0.4,cls/eval/uq_detection/1pct/1.0,cls/eval/uq_detection/5pct/1.0,cls/eval/uq_detection/10pct/1.0,cls/eval/uq_detection/20pct/1.0,cls/eval/uq_purify_acc/0.2/0.2,cls/eval/uq_purify_recovery/0.2/0.2,cls/eval/uq_purify_acc/0.4/0.2,cls/eval/uq_purify_recovery/0.4/0.2,cls/eval/uq_purify_acc/1.0/0.2,cls/eval/uq_purify_recovery/1.0/0.2,cls/eval/test/rob/0.2,cls/eval/test/rob/0.4,cls/eval/test/rob/1.0,gen/eval/test/acc,gen/eval/test/clsloss,gen/eval/test/genloss,gen/eval/uq_clean_accuracy,gen/eval/uq_clean_log_px_mean,gen/eval/uq_adv_acc/0.2,gen/eval/uq_adv_acc/0.4,gen/eval/uq_adv_acc/1.0,gen/eval/uq_detection/1pct/0.2,gen/eval/uq_detection/5pct/0.2,gen/eval/uq_detection/10pct/0.2,gen/eval/uq_detection/20pct/0.2,gen/eval/uq_detection/1pct/0.4,gen/eval/uq_detection/5pct/0.4,gen/eval/uq_detection/10pct/0.4,gen/eval/uq_detection/20pct/0.4,gen/eval/uq_detection/1pct/1.0,gen/eval/uq_detection/5pct/1.0,gen/eval/uq_detection/10pct/1.0,gen/eval/uq_detection/20pct/1.0,gen/eval/uq_purify_acc/0.2/0.2,gen/eval/uq_purify_recovery/0.2/0.2,gen/eval/uq_purify_acc/0.4/0.2,gen/eval/uq_purify_recovery/0.4/0.2,gen/eval/uq_purify_acc/1.0/0.2,gen/eval/uq_purify_recovery/1.0/0.2,gen/eval/test/rob/0.2,gen/eval/test/rob/0.4,gen/eval/test/rob/1.0
0,1,/home/ubuntu/adversarial_training_mps/outputs/dev_comb/clsgen/legendre/d10D6/moons_4k_1303/0,2.0,0.5005,0.6931471824645996,2.079441785812378,0.5005,-1.3862947225570679,0.5005,0.5005,0.5005,0.0015,0.0015,0.0015,0.0015,0.0145,0.0145,0.0145,0.0145,0.0555,0.0555,0.0555,0.0555,0.5005,0.0,0.5005,0.0,0.5005,0.0,0.5005,0.5005,0.5005,0.6775,0.626000914722681,1.571597870439291,0.6775,-0.9381856918334961,0.207,0.276,0.4245,0.274,0.441,0.4875,0.538,0.338,0.468,0.518,0.583,0.2025,0.2865,0.3085,0.3335,0.5095,0.4129886506935687,0.393,0.2879834254143646,0.389,0.2684622067767159,0.207,0.276,0.4245
0,2,/home/ubuntu/adversarial_training_mps/outputs/dev_comb/clsgen/legendre/d10D6/moons_4k_1303/1,2.0,0.5005,0.6931471824645996,2.079441785812378,0.5005,-1.3862947225570679,0.5005,0.5005,0.5005,0.0,0.0,0.0,0.0,0.0085,0.0085,0.0085,0.0085,0.062,0.062,0.062,0.062,0.5005,0.0,0.5005,0.0,0.5005,0.0,0.5005,0.5005,0.5005,0.7305,0.6308549176901579,1.5576593689620495,0.7305,-0.9187487363815308,0.3235,0.2845,0.3775,0.339,0.477,0.518,0.547,0.3965,0.526,0.573,0.616,0.279,0.3515,0.424,0.486,0.657,0.6245380635624538,0.574,0.5555555555555556,0.5095,0.39759036144578314,0.3235,0.2845,0.3775
0,3,/home/ubuntu/adversarial_training_mps/outputs/dev_comb/clsgen/legendre/d10D6/moons_4k_1303/2,2.0,0.5005,0.6931471824645996,2.079441785812378,0.5005,-1.3862947225570679,0.5005,0.5005,0.5005,0.001,0.001,0.001,0.001,0.028,0.028,0.028,0.028,0.151,0.151,0.151,0.151,0.5005,0.0,0.5005,0.0,0.5005,0.0,0.5005,0.5005,0.5005,0.9185,0.5823426991701126,1.365177072584629,0.9185,-0.7739225029945374,0.277,0.2255,0.358,0.2775,0.389,0.4695,0.532,0.4745,0.5355,0.5705,0.639,0.362,0.4565,0.5115,0.59,0.7825,0.7586445366528354,0.59,0.5100064557779213,0.5065,0.37538940809968846,0.277,0.2255,0.358
0,4,/home/ubuntu/adversarial_training_mps/outputs/dev_comb/clsgen/legendre/d10D6/moons_4k_1303/3,2.0,0.5005,0.6931471824645996,2.079441785812378,0.5005,-1.3862947225570679,0.5005,0.5005,0.5005,0.0,0.0,0.0,0.0,0.0065,0.0065,0.0065,0.0065,0.0605,0.0605,0.0605,0.0605,0.5005,0.0,0.5005,0.0,0.5005,0.0,0.5005,0.5005,0.5005,0.65,0.6362855602055788,1.5759636424481869,0.65,-0.9323074817657471,0.2505,0.25,0.284,0.2755,0.371,0.4165,0.518,0.3435,0.4155,0.4415,0.5085,0.2555,0.34,0.3565,0.374,0.588,0.5003335557038026,0.4215,0.324,0.427,0.3498603351955307,0.2505,0.25,0.284
0,5,/home/ubuntu/adversarial_training_mps/outputs/dev_comb/clsgen/legendre/d10D6/moons_4k_1303/4,2.0,0.5005,0.6931471824645996,2.079441785812378,0.5005,-1.3862947225570679,0.5005,0.5005,0.5005,0.0,0.0,0.0,0.0,0.0195,0.0195,0.0195,0.0195,0.1025,0.1025,0.1025,0.1025,0.5005,0.0,0.5005,0.0,0.5005,0.0,0.5005,0.5005,0.5005,0.7795,0.5269687063992023,1.7028771974146366,0.7795,-1.175548791885376,0.5845,0.5305,0.4975,0.198,0.2635,0.299,0.334,0.2635,0.3185,0.364,0.39,0.1705,0.215,0.265,0.3175,0.7065,0.2996389891696751,0.6625,0.3035143769968051,0.541,0.16616915422885573,0.5845,0.5305,0.4975
1,1,/home/ubuntu/adversarial_training_mps/outputs/dev_comb/clsgen/legendre/d10D6/moons_4k_1303/5,2.0,0.943,0.258630134165287,1.7733394838869572,0.943,-1.5122240781784058,0.424,0.127,0.16,0.001,0.0605,0.1005,0.156,0.003,0.094,0.188,0.2465,0.008,0.1375,0.2035,0.317,0.586,0.3706597222222222,0.4105,0.34077892325315007,0.2635,0.16666666666666666,0.424,0.127,0.16,0.996,0.07260579336434603,0.8601646665483713,0.996,-0.7838853597640991,0.632,0.4755,0.4525,0.291,0.546,0.5835,0.6355,0.383,0.65,0.67,0.717,0.2055,0.412,0.4515,0.5075,0.851,0.6168478260869565,0.6835,0.449952335557674,0.4885,0.17168949771689498,0.632,0.4755,0.4525
1,2,/home/ubuntu/adversarial_training_mps/outputs/dev_comb/clsgen/legendre/d10D6/moons_4k_1303/6,2.0,0.9015,0.34123117104172707,1.8024812266230583,0.9015,-1.4602820873260498,0.4955,0.372,0.243,0.0005,0.008,0.013,0.0695,0.0055,0.0235,0.03,0.0735,0.0295,0.0585,0.0655,0.1045,0.638,0.35678889990089196,0.57,0.3487261146496815,0.3815,0.23645970937912814,0.4955,0.372,0.243,0.9025,0.20719601679593325,1.2879171781241894,0.9025,-1.079175591468811,0.54,0.4665,0.425,0.271,0.3425,0.3665,0.4355,0.286,0.372,0.4105,0.4665,0.134,0.1865,0.227,0.284,0.76,0.5010869565217392,0.688,0.45173383317713217,0.521,0.3017391304347826,0.54,0.4665,0.425
1,3,/home/ubuntu/adversarial_training_mps/outputs/dev_comb/clsgen/legendre/d10D6/moons_4k_1303/7,2.0,0.974,0.1526996057946235,1.7559236325323582,0.974,-1.6022944450378418,0.4165,0.171,0.1485,0.0375,0.0465,0.0495,0.087,0.031,0.042,0.053,0.12,0.0115,0.023,0.034,0.081,0.5865,0.3916023993144816,0.456,0.36550060313630883,0.3715,0.3112155020551967,0.4165,0.171,0.1485,0.901,0.20505043887533247,1.3538205325603485,0.901,-1.1519055366516113,0.314,0.2295,0.271,0.19,0.314,0.377,0.4215,0.1745,0.278,0.32,0.378,0.07,0.1735,0.219,0.2655,0.701,0.6056851311953353,0.6185,0.5353666450356911,0.479,0.35253772290809327,0.314,0.2295,0.271
1,4,/home/ubuntu/adversarial_training_mps/outputs/dev_comb/clsgen/legendre/d10D6/moons_4k_1303/8,2.0,0.923,0.21426582243293524,1.6274340711534023,0.923,-1.4169340133666992,0.473,0.2945,0.213,0.0415,0.0565,0.0925,0.207,0.052,0.068,0.099,0.217,0.021,0.034,0.085,0.154,0.621,0.4155597722960152,0.4765,0.3160878809355067,0.3245,0.23761118170266837,0.473,0.2945,0.213,0.8305,0.3020382560789585,1.6159986443817616,0.8305,-1.3207532167434692,0.353,0.2775,0.347,0.139,0.218,0.3315,0.4385,0.238,0.3265,0.4045,0.4925,0.111,0.2125,0.265,0.347,0.5775,0.4072642967542504,0.537,0.38685121107266435,0.3955,0.27182235834609497,0.353,0.2775,0.347
1,5,/home/ubuntu/adversarial_training_mps/outputs/dev_comb/clsgen/legendre/d10D6/moons_4k_1303/9,2.0,0.941,0.2619320093654096,1.8387329280376434,0.941,-1.578912377357483,0.533,0.269,0.2185,0.0095,0.066,0.0935,0.1135,0.009,0.041,0.057,0.07,0.016,0.024,0.0605,0.0915,0.562,0.21199143468950749,0.397,0.23119015047879618,0.22,0.09468969929622521,0.533,0.269,0.2185,0.944,0.20553282694891095,1.258881714195013,0.944,-1.0545481443405151,0.461,0.2965,0.285,0.2705,0.3955,0.4305,0.521,0.384,0.5215,0.5685,0.6805,0.2705,0.3395,0.359,0.4505,0.748,0.536178107606679,0.623,0.4946695095948827,0.5415,0.3958041958041958,0.461,0.2965,0.285
