cls_epoch,seed,run_path,range_size,cls/eval/test/acc,cls/eval/test/clsloss,cls/eval/test/genloss,cls/eval/uq_clean_accuracy,cls/eval/uq_clean_log_px_mean,cls/eval/uq_adv_acc/0.2,cls/eval/uq_adv_acc/0.4,cls/eval/uq_adv_acc/1.0,cls/eval/uq_detection/1pct/0.2,cls/eval/uq_detection/5pct/0.2,cls/eval/uq_detection/10pct/0.2,cls/eval/uq_detection/20pct/0.2,cls/eval/uq_detection/1pct/0.4,cls/eval/uq_detection/5pct/0.4,cls/eval/uq_detection/10pct/0.4,cls/eval/uq_detection/20pct/0.4,cls/eval/uq_detection/1pct/1.0,cls/eval/uq_detection/5pct/1.0,cls/eval/uq_detection/10pct/1.0,cls/eval/uq_detection/20pct/1.0,cls/eval/uq_purify_acc/0.2/0.2,cls/eval/uq_purify_recovery/0.2/0.2,cls/eval/uq_purify_acc/0.4/0.2,cls/eval/uq_purify_recovery/0.4/0.2,cls/eval/uq_purify_acc/1.0/0.2,cls/eval/uq_purify_recovery/1.0/0.2,cls/eval/test/rob/0.2,cls/eval/test/rob/0.4,cls/eval/test/rob/1.0,gen/eval/test/acc,gen/eval/test/clsloss,gen/eval/test/genloss,gen/eval/uq_clean_accuracy,gen/eval/uq_clean_log_px_mean,gen/eval/uq_adv_acc/0.2,gen/eval/uq_adv_acc/0.4,gen/eval/uq_adv_acc/1.0,gen/eval/uq_detection/1pct/0.2,gen/eval/uq_detection/5pct/0.2,gen/eval/uq_detection/10pct/0.2,gen/eval/uq_detection/20pct/0.2,gen/eval/uq_detection/1pct/0.4,gen/eval/uq_detection/5pct/0.4,gen/eval/uq_detection/10pct/0.4,gen/eval/uq_detection/20pct/0.4,gen/eval/uq_detection/1pct/1.0,gen/eval/uq_detection/5pct/1.0,gen/eval/uq_detection/10pct/1.0,gen/eval/uq_detection/20pct/1.0,gen/eval/uq_purify_acc/0.2/0.2,gen/eval/uq_purify_recovery/0.2/0.2,gen/eval/uq_purify_acc/0.4/0.2,gen/eval/uq_purify_recovery/0.4/0.2,gen/eval/uq_purify_acc/1.0/0.2,gen/eval/uq_purify_recovery/1.0/0.2,gen/eval/test/rob/0.2,gen/eval/test/rob/0.4,gen/eval/test/rob/1.0,eps_unit
0,1,/home/ubuntu/adversarial_training_mps/outputs/dev_comb/clsgen/legendre/d10D6/spirals_4k_1303/0,2.0,0.5035,0.6931471824645996,2.079441785812378,0.5035,-1.386294722557068,0.5035,0.5035,0.5035,0.0,0.0,0.0,0.0,0.006,0.006,0.006,0.006,0.045,0.045,0.045,0.045,0.5035,0.0,0.5035,0.0,0.5035,0.0,0.5035,0.5035,0.5035,0.8505,0.5621057152748108,1.5402269102633,0.8505,-0.9758083820343018,0.2765,0.1975,0.224,0.141,0.265,0.407,0.5245,0.2045,0.366,0.509,0.5695,0.1425,0.281,0.373,0.455,0.591,0.4996544574982723,0.364,0.2386292834890965,0.4165,0.2957474226804124,0.2765,0.1975,0.224,rel
0,2,/home/ubuntu/adversarial_training_mps/outputs/dev_comb/clsgen/legendre/d10D6/spirals_4k_1303/1,2.0,0.5035,0.6931471824645996,2.079441785812378,0.5035,-1.386294722557068,0.5035,0.5035,0.5035,0.0005,0.0005,0.0005,0.0005,0.0035,0.0035,0.0035,0.0035,0.065,0.065,0.065,0.065,0.5035,0.0,0.5035,0.0,0.5035,0.0,0.5035,0.5035,0.5035,0.764,0.5725594386458397,1.7025332041084766,0.764,-1.1258251667022705,0.2875,0.1415,0.269,0.223,0.3655,0.4235,0.481,0.268,0.514,0.597,0.6355,0.178,0.289,0.401,0.4465,0.596,0.5185964912280702,0.442,0.3878858474082702,0.512,0.4186046511627907,0.2875,0.1415,0.269,rel
0,3,/home/ubuntu/adversarial_training_mps/outputs/dev_comb/clsgen/legendre/d10D6/spirals_4k_1303/2,2.0,0.5035,0.6931471824645996,2.079441785812378,0.5035,-1.386294722557068,0.5035,0.5035,0.5035,0.0045,0.0045,0.0045,0.0045,0.0325,0.0325,0.0325,0.0325,0.1685,0.1685,0.1685,0.1685,0.5035,0.0,0.5035,0.0,0.5035,0.0,0.5035,0.5035,0.5035,0.798,0.5514869596809149,1.6320945620536804,0.798,-1.0733423233032229,0.302,0.228,0.302,0.1775,0.3475,0.368,0.423,0.2155,0.386,0.4085,0.4405,0.11,0.2015,0.23,0.292,0.6145,0.505730659025788,0.4965,0.3678756476683937,0.4295,0.3101719197707736,0.302,0.228,0.302,rel
0,4,/home/ubuntu/adversarial_training_mps/outputs/dev_comb/clsgen/legendre/d10D6/spirals_4k_1303/3,2.0,0.5035,0.6931471824645996,2.079441785812378,0.5035,-1.386294722557068,0.5035,0.5035,0.5035,0.0015,0.0015,0.0015,0.0015,0.0165,0.0165,0.0165,0.0165,0.063,0.063,0.063,0.063,0.5035,0.0,0.5035,0.0,0.5035,0.0,0.5035,0.5035,0.5035,0.7895,0.6164525728672743,1.5302821584045887,0.7895,-0.9063456058502196,0.2525,0.1865,0.348,0.25,0.361,0.43,0.46,0.317,0.448,0.4855,0.5255,0.2845,0.397,0.444,0.472,0.513,0.4387959866220736,0.3205,0.2624462200368777,0.3485,0.308282208588957,0.2525,0.1865,0.348,rel
0,5,/home/ubuntu/adversarial_training_mps/outputs/dev_comb/clsgen/legendre/d10D6/spirals_4k_1303/4,2.0,0.5035,0.6931471824645996,2.079441785812378,0.5035,-1.386294722557068,0.5035,0.5035,0.5035,0.0,0.0,0.0,0.0,0.013,0.013,0.013,0.013,0.0925,0.0925,0.0925,0.0925,0.5035,0.0,0.5035,0.0,0.5035,0.0,0.5035,0.5035,0.5035,0.7545,0.6093649826943874,1.806394286453724,0.7545,-1.185210943222046,0.2215,0.197,0.281,0.2335,0.3785,0.4225,0.48,0.2855,0.4205,0.4935,0.571,0.139,0.252,0.3195,0.376,0.5045,0.4251766217084136,0.424,0.3075965130759651,0.4565,0.2934631432545201,0.2215,0.197,0.281,rel
1,1,/home/ubuntu/adversarial_training_mps/outputs/dev_comb/clsgen/legendre/d10D6/spirals_4k_1303/5,2.0,0.9565,0.2961637424305081,1.8288580551743507,0.9565,-1.5295507907867432,0.2785,0.129,0.131,0.0,0.026,0.0785,0.1575,0.0015,0.021,0.0795,0.239,0.008,0.024,0.0575,0.163,0.488,0.3998613998613998,0.308,0.24052812858783,0.278,0.1962025316455696,0.2785,0.129,0.131,0.873,0.2917174897156656,1.544077716767788,0.873,-1.2468799352645874,0.3265,0.257,0.33,0.0695,0.212,0.34,0.4445,0.0395,0.13,0.244,0.3755,0.0215,0.055,0.121,0.2325,0.575,0.3994060876020787,0.489,0.3438761776581426,0.441,0.2395522388059701,0.3265,0.257,0.33,rel
1,2,/home/ubuntu/adversarial_training_mps/outputs/dev_comb/clsgen/legendre/d10D6/spirals_4k_1303/6,2.0,0.92,0.283133125398308,2.091339021921158,0.92,-1.8188042640686035,0.3255,0.222,0.1785,0.007,0.065,0.1105,0.159,0.01,0.058,0.082,0.1325,0.0105,0.0285,0.041,0.066,0.3765,0.2053372868791697,0.283,0.1484575835475578,0.286,0.1892878880097382,0.3255,0.222,0.1785,0.9165,0.2443913861643523,1.5505848713219166,0.9165,-1.3020663261413574,0.4085,0.3435,0.2845,0.027,0.118,0.2505,0.385,0.0235,0.119,0.24,0.3665,0.01,0.037,0.0885,0.2185,0.58,0.3322062552831784,0.486,0.2757044935262757,0.415,0.2830188679245283,0.4085,0.3435,0.2845,rel
1,3,/home/ubuntu/adversarial_training_mps/outputs/dev_comb/clsgen/legendre/d10D6/spirals_4k_1303/7,2.0,0.9835,0.153599371900782,1.7175073996186256,0.9835,-1.5660614967346191,0.4635,0.307,0.2455,0.0295,0.0375,0.044,0.1295,0.047,0.0605,0.0735,0.1275,0.0135,0.028,0.053,0.0995,0.492,0.0904007455731593,0.374,0.1002886002886002,0.304,0.1086812458581842,0.4635,0.307,0.2455,0.9725,0.1586460119578987,1.3223396725952623,0.9725,-1.1585330963134766,0.478,0.3895,0.3455,0.038,0.158,0.268,0.3735,0.0465,0.197,0.305,0.439,0.0265,0.1175,0.208,0.3165,0.6465,0.3352490421455938,0.489,0.1859131859131859,0.4855,0.2627960275019098,0.478,0.3895,0.3455,rel
1,4,/home/ubuntu/adversarial_training_mps/outputs/dev_comb/clsgen/legendre/d10D6/spirals_4k_1303/8,2.0,0.948,0.2139430153183639,1.6263571940362451,0.948,-1.4073102474212646,0.4125,0.2705,0.2665,0.038,0.08,0.106,0.172,0.031,0.0835,0.144,0.215,0.015,0.0675,0.1215,0.2315,0.6145,0.4076595744680851,0.4875,0.3098012337217272,0.4275,0.2426721199727334,0.4125,0.2705,0.2665,0.929,0.2085225852206349,1.3355578407645226,0.929,-1.117414116859436,0.377,0.249,0.291,0.1285,0.235,0.358,0.486,0.1855,0.255,0.3235,0.4485,0.1155,0.1475,0.198,0.3,0.6185,0.406099518459069,0.5325,0.3874833555259653,0.421,0.2778561354019746,0.377,0.249,0.291,rel
1,5,/home/ubuntu/adversarial_training_mps/outputs/dev_comb/clsgen/legendre/d10D6/spirals_4k_1303/9,2.0,0.9775,0.1608643329236656,1.8925126269459724,0.9775,-1.7338694334030151,0.372,0.2725,0.2465,0.0065,0.0195,0.052,0.124,0.0075,0.014,0.0365,0.1125,0.002,0.0125,0.0365,0.0855,0.5175,0.2818471337579618,0.4025,0.2041237113402061,0.404,0.2700729927007299,0.372,0.2725,0.2465,0.9235,0.2909696465358138,1.7773511596024036,0.9235,-1.4800342321395874,0.3625,0.317,0.3585,0.0375,0.189,0.295,0.377,0.024,0.1575,0.2525,0.3545,0.0065,0.0545,0.138,0.2455,0.646,0.4870588235294117,0.5425,0.3572474377745241,0.4765,0.2704598597038192,0.3625,0.317,0.3585,rel
