run_name,run_path,config/dataset.name,config/tracking.seed,config/dataset.gen_dow_kwargs.seed,config/trainer.nll.alpha,config/trainer.adversarial.alpha,acc,dis_loss,gen_loss,rob/0.05,rob/0.1,rob/0.15,uq_clean_accuracy,uq_clean_log_px_mean,uq_adv_acc/0.05,uq_adv_acc/0.1,uq_adv_acc/0.15,uq_detection/1pct/0.05,uq_detection/5pct/0.05,uq_detection/10pct/0.05,uq_detection/20pct/0.05,uq_detection/1pct/0.1,uq_detection/5pct/0.1,uq_detection/10pct/0.1,uq_detection/20pct/0.1,uq_detection/1pct/0.15,uq_detection/5pct/0.15,uq_detection/10pct/0.15,uq_detection/20pct/0.15,uq_det_err_detected/1pct/0.05,uq_det_err_detected/5pct/0.05,uq_det_err_detected/10pct/0.05,uq_det_err_detected/20pct/0.05,uq_det_err_detected/1pct/0.1,uq_det_err_detected/5pct/0.1,uq_det_err_detected/10pct/0.1,uq_det_err_detected/20pct/0.1,uq_det_err_detected/1pct/0.15,uq_det_err_detected/5pct/0.15,uq_det_err_detected/10pct/0.15,uq_det_err_detected/20pct/0.15,uq_det_err_passed/1pct/0.05,uq_det_err_passed/5pct/0.05,uq_det_err_passed/10pct/0.05,uq_det_err_passed/20pct/0.05,uq_det_err_passed/1pct/0.1,uq_det_err_passed/5pct/0.1,uq_det_err_passed/10pct/0.1,uq_det_err_passed/20pct/0.1,uq_det_err_passed/1pct/0.15,uq_det_err_passed/5pct/0.15,uq_det_err_passed/10pct/0.15,uq_det_err_passed/20pct/0.15,uq_purify_acc/0.05/0.1,uq_purify_recovery/0.05/0.1,uq_purify_acc/0.1/0.1,uq_purify_recovery/0.1/0.1,uq_purify_acc/0.15/0.1,uq_purify_recovery/0.15/0.1,gibbs_purify_acc/0.05/1,gibbs_purify_recovery/0.05/1,gibbs_purify_acc/0.05/3,gibbs_purify_recovery/0.05/3,gibbs_purify_acc/0.05/5,gibbs_purify_recovery/0.05/5,gibbs_purify_acc/0.1/1,gibbs_purify_recovery/0.1/1,gibbs_purify_acc/0.1/3,gibbs_purify_recovery/0.1/3,gibbs_purify_acc/0.1/5,gibbs_purify_recovery/0.1/5,gibbs_purify_acc/0.15/1,gibbs_purify_recovery/0.15/1,gibbs_purify_acc/0.15/3,gibbs_purify_recovery/0.15/3,gibbs_purify_acc/0.15/5,gibbs_purify_recovery/0.15/5,uq_clean_purify_acc/0.1,gibbs_clean_purify_acc/1,gibbs_clean_purify_acc/3,gibbs_clean_purify_acc/5,uq_joint_adv_acc/0.05,uq_joint_adv_acc/0.1,uq_joint_adv_acc/0.15,uq_joint_detection/1pct/0.05,uq_joint_detection/5pct/0.05,uq_joint_detection/10pct/0.05,uq_joint_detection/20pct/0.05,uq_joint_detection/1pct/0.1,uq_joint_detection/5pct/0.1,uq_joint_detection/10pct/0.1,uq_joint_detection/20pct/0.1,uq_joint_detection/1pct/0.15,uq_joint_detection/5pct/0.15,uq_joint_detection/10pct/0.15,uq_joint_detection/20pct/0.15,uq_joint_det_err_detected/1pct/0.05,uq_joint_det_err_detected/5pct/0.05,uq_joint_det_err_detected/10pct/0.05,uq_joint_det_err_detected/20pct/0.05,uq_joint_det_err_detected/1pct/0.1,uq_joint_det_err_detected/5pct/0.1,uq_joint_det_err_detected/10pct/0.1,uq_joint_det_err_detected/20pct/0.1,uq_joint_det_err_detected/1pct/0.15,uq_joint_det_err_detected/5pct/0.15,uq_joint_det_err_detected/10pct/0.15,uq_joint_det_err_detected/20pct/0.15,uq_joint_det_err_passed/1pct/0.05,uq_joint_det_err_passed/5pct/0.05,uq_joint_det_err_passed/10pct/0.05,uq_joint_det_err_passed/20pct/0.05,uq_joint_det_err_passed/1pct/0.1,uq_joint_det_err_passed/5pct/0.1,uq_joint_det_err_passed/10pct/0.1,uq_joint_det_err_passed/20pct/0.1,uq_joint_det_err_passed/1pct/0.15,uq_joint_det_err_passed/5pct/0.15,uq_joint_det_err_passed/10pct/0.15,uq_joint_det_err_passed/20pct/0.15,uq_joint_purify_acc/0.05/0.1,uq_joint_purify_recovery/0.05/0.1,uq_joint_purify_acc/0.1/0.1,uq_joint_purify_recovery/0.1/0.1,uq_joint_purify_acc/0.15/0.1,uq_joint_purify_recovery/0.15/0.1,gibbs_joint_purify_acc/0.05/1,gibbs_joint_purify_recovery/0.05/1,gibbs_joint_purify_acc/0.05/3,gibbs_joint_purify_recovery/0.05/3,gibbs_joint_purify_acc/0.05/5,gibbs_joint_purify_recovery/0.05/5,gibbs_joint_purify_acc/0.1/1,gibbs_joint_purify_recovery/0.1/1,gibbs_joint_purify_acc/0.1/3,gibbs_joint_purify_recovery/0.1/3,gibbs_joint_purify_acc/0.1/5,gibbs_joint_purify_recovery/0.1/5,gibbs_joint_purify_acc/0.15/1,gibbs_joint_purify_recovery/0.15/1,gibbs_joint_purify_acc/0.15/3,gibbs_joint_purify_recovery/0.15/3,gibbs_joint_purify_acc/0.15/5,gibbs_joint_purify_recovery/0.15/5,range_size,eps_unit,config/descriptor,config/model_path
0,/mathqi/mnissen/bm4tc/outputs/spirals/nat/legendre/d10r6/seed_sweep_a1_0506/0,spirals,1,25,1.0,,0.9965,0.0785157168284058,0.9288107249885798,0.804,0.4745,0.328,0.9965,-0.8513367772102356,0.8075,0.4725,0.3035,0.2465,0.397,0.4715,0.6155,0.441,0.596,0.6695,0.7685,0.4495,0.5865,0.6345,0.7025,0.486815415821501,0.4080604534005038,0.3679745493107105,0.2956945572705118,0.7517006802721088,0.6996644295302014,0.6654219566840927,0.6018217306441119,0.8109010011123471,0.7715260017050298,0.7541371158392435,0.7167259786476868,0.0962176509621765,0.0505804311774461,0.0359508041627246,0.0273081924577373,0.3506261180679785,0.2735148514851485,0.2481089258698941,0.2807775377969762,0.6030881017257039,0.5900846432889963,0.5964432284541724,0.6487394957983194,0.9335,0.7038961038961039,0.72,0.5317535545023697,0.6005,0.4565685570710696,0.8995000123977661,0.7428571428571429,0.8650000095367432,0.7610389610389611,0.8295000195503235,0.7220779220779221,0.7910000085830688,0.6672985781990521,0.7804999947547913,0.6938388625592417,0.7609999775886536,0.6739336492890995,0.6809999942779541,0.5671213208901651,0.7024999856948853,0.6173725771715721,0.6934999823570251,0.6288585786073223,0.996,0.9629999995231628,0.9160000085830688,0.8769999742507935,0.903,0.723,0.582,0.078,0.187,0.2265,0.3295,0.0995,0.252,0.32,0.428,0.098,0.226,0.2755,0.344,0.4102564102564102,0.2834224598930481,0.2847682119205298,0.212443095599393,0.4723618090452261,0.373015873015873,0.4546875,0.4322429906542056,0.4489795918367347,0.3716814159292035,0.4392014519056261,0.4258720930232558,0.0704989154013015,0.054120541205412,0.042016806722689,0.0402684563758389,0.2554136590782898,0.2446524064171123,0.1933823529411764,0.1608391608391608,0.4146341463414634,0.4315245478036176,0.4099378881987577,0.4138719512195122,0.9245,0.3969072164948453,0.72,0.1768953068592057,0.592,0.1363636363636363,0.9089999794960022,0.6649484536082474,0.8759999871253967,0.6494845360824743,0.843999981880188,0.7268041237113402,0.8054999709129333,0.4657039711191336,0.7994999885559082,0.5288808664259927,0.7684999704360962,0.51985559566787,0.6510000228881836,0.284688995215311,0.7124999761581421,0.4186602870813397,0.6980000138282776,0.4413875598086124,2.0,rel,,
1,/mathqi/mnissen/bm4tc/outputs/spirals/nat/legendre/d10r6/seed_sweep_a1_0506/1,spirals,2,25,1.0,,0.996,0.0533428275957703,0.6911930497735739,0.9075,0.5755,0.445,0.996,-0.6371970176696777,0.9045,0.578,0.429,0.231,0.368,0.4545,0.557,0.4645,0.623,0.7055,0.7855,0.5,0.6245,0.6955,0.753,0.3484848484848485,0.2364130434782608,0.1958195819581958,0.163375224416517,0.673842841765339,0.5890850722311396,0.5556343019135365,0.5079567154678549,0.725,0.6709367493995196,0.6635514018691588,0.6354581673306773,0.0195058517555266,0.0134493670886075,0.0119156736938588,0.010158013544018,0.203548085901027,0.1458885941644562,0.1018675721561969,0.1072261072261072,0.417,0.4047936085219707,0.3596059113300492,0.374493927125506,0.9685,0.7120418848167539,0.775,0.5071090047393365,0.6095,0.3607705779334501,0.9394999742507936,0.8481675392670157,0.915499985218048,0.8586387434554974,0.8849999904632568,0.8219895287958116,0.8355000019073486,0.6718009478672986,0.8220000267028809,0.6943127962085308,0.8075000047683716,0.7097156398104265,0.7490000128746033,0.6138353765323993,0.7465000152587891,0.6155866900175131,0.7319999933242798,0.6252189141856392,0.997,0.9819999933242798,0.9419999718666076,0.9114999771118164,0.951,0.7435,0.5965,0.086,0.1935,0.2345,0.3025,0.1825,0.3095,0.3695,0.426,0.1945,0.2785,0.338,0.403,0.4011627906976744,0.1989664082687338,0.1684434968017057,0.1388429752066115,0.6246575342465753,0.5363489499192245,0.5426251691474966,0.5176056338028169,0.5784061696658098,0.526032315978456,0.5562130177514792,0.5620347394540943,0.0158643326039387,0.0130192188468691,0.0124101894186806,0.0100358422939068,0.1743119266055046,0.1310644460535843,0.0888183980967486,0.0627177700348432,0.3612662942271881,0.3562023562023562,0.3255287009063444,0.2964824120603015,0.967,0.7653061224489796,0.8105,0.4600389863547758,0.654,0.2912019826517967,0.959999978542328,0.9081632653061223,0.9179999828338624,0.8571428571428571,0.8955000042915344,0.8775510204081632,0.8690000176429749,0.571150097465887,0.8454999923706055,0.6140350877192983,0.8299999833106995,0.6101364522417154,0.6800000071525574,0.3494423791821561,0.7350000143051147,0.436183395291202,0.7310000061988831,0.4572490706319702,2.0,rel,,
10,/mathqi/mnissen/bm4tc/outputs/spirals/nat/legendre/d10r6/seed_sweep_a1_0506/10,spirals,11,25,1.0,,0.9975,0.0725329630076885,1.045373560860753,0.84,0.5545,0.398,0.9975,-0.9719101786613464,0.842,0.559,0.4075,0.1255,0.255,0.32,0.4565,0.2155,0.407,0.4845,0.6335,0.2155,0.419,0.5225,0.6535,0.545816733067729,0.3666666666666666,0.3296875,0.2782037239868565,0.5754060324825986,0.5847665847665847,0.5975232198142415,0.5619573796369376,0.5707656612529002,0.6002386634844868,0.6287081339712919,0.613618974751339,0.1023441966838193,0.0865771812080536,0.0772058823529411,0.0570377184912603,0.4040790312300829,0.342327150084317,0.2938894277400582,0.2319236016371077,0.5984703632887189,0.5869191049913941,0.5528795811518324,0.5526695526695526,0.9735,0.870253164556962,0.7935,0.5555555555555556,0.67,0.4540084388185654,0.906499981880188,0.7658227848101266,0.8694999814033508,0.7879746835443038,0.8240000009536743,0.7215189873417721,0.7864999771118164,0.5929705215419501,0.7950000166893005,0.6609977324263039,0.7570000290870667,0.6303854875283447,0.6840000152587891,0.5054852320675105,0.7250000238418579,0.5890295358649789,0.7179999947547913,0.6135021097046414,0.995,0.962499976158142,0.9049999713897704,0.859000027179718,0.9435,0.731,0.546,0.0215,0.0845,0.115,0.181,0.029,0.118,0.17,0.244,0.0255,0.096,0.135,0.224,0.7209302325581395,0.3846153846153846,0.3,0.218232044198895,0.7586206896551724,0.614406779661017,0.6235294117647059,0.6024590163934426,0.7647058823529411,0.5520833333333334,0.5481481481481482,0.6049107142857143,0.0419008686765457,0.026215182960131,0.0248587570621468,0.0207570207570207,0.2543769309989701,0.2227891156462585,0.1963855421686747,0.1613756613756613,0.4458696767573114,0.4435840707964602,0.4393063583815029,0.4104381443298969,0.9765,0.6814159292035398,0.81,0.379182156133829,0.695,0.3414096916299559,0.9304999709129332,0.7522123893805309,0.8774999976158142,0.6902654867256637,0.8464999794960022,0.6548672566371682,0.8065000176429749,0.4628252788104089,0.7889999747276306,0.5092936802973977,0.7524999976158142,0.5223048327137546,0.6899999976158142,0.3645374449339207,0.703499972820282,0.4493392070484581,0.7049999833106995,0.4966960352422907,2.0,rel,,
11,/mathqi/mnissen/bm4tc/outputs/spirals/nat/legendre/d10r6/seed_sweep_a1_0506/11,spirals,12,25,1.0,,0.9985,0.0517080025747418,0.7817578222602606,0.8165,0.4535,0.2905,0.9985,-0.7296996116638184,0.8095,0.4695,0.3025,0.2755,0.478,0.55,0.674,0.486,0.628,0.6695,0.767,0.45,0.5915,0.66,0.7205,0.4900181488203267,0.3399581589958159,0.3127272727272727,0.263353115727003,0.6975308641975309,0.6329617834394905,0.6295743091859597,0.6108213820078227,0.7755555555555556,0.7438715131022823,0.7515151515151515,0.7362942401110341,0.0766045548654244,0.053639846743295,0.0411111111111111,0.0398773006134969,0.372568093385214,0.3575268817204301,0.329803328290469,0.2660944206008583,0.6336363636363637,0.6303549571603427,0.5926470588235294,0.5974955277280859,0.9555,0.8136482939632546,0.738,0.5664467483506126,0.602,0.457347670250896,0.9194999933242798,0.8503937007874016,0.890500009059906,0.863517060367454,0.8539999723434448,0.8162729658792651,0.8065000176429749,0.704052780395853,0.781499981880188,0.6918001885014138,0.7680000066757202,0.6918001885014138,0.7080000042915344,0.6229390681003584,0.7179999947547913,0.6408602150537634,0.7074999809265137,0.6437275985663082,0.998,0.9695000052452089,0.9175000190734864,0.8880000114440918,0.945,0.7145,0.539,0.039,0.173,0.242,0.384,0.113,0.314,0.369,0.49,0.104,0.2665,0.319,0.4365,0.2948717948717949,0.1445086705202312,0.1301652892561983,0.0950520833333333,0.5752212389380531,0.4267515923566879,0.4173441734417344,0.4112244897959183,0.5673076923076923,0.4146341463414634,0.4326018808777429,0.4650630011454754,0.0452653485952133,0.0362756952841596,0.0310026385224274,0.0300324675324675,0.2485907553551296,0.2208454810495626,0.2083993660855784,0.1647058823529411,0.4486607142857143,0.4778459441036128,0.474302496328928,0.4578527062999112,0.962,0.6727272727272727,0.7845,0.3905429071803853,0.626,0.2733188720173535,0.9459999799728394,0.8454545454545455,0.8945000171661377,0.7454545454545455,0.8615000247955322,0.7181818181818181,0.8295000195503235,0.5026269702276708,0.8149999976158142,0.542907180385289,0.7864999771118164,0.5499124343257443,0.656000018119812,0.3373101952277657,0.7074999809265137,0.4229934924078091,0.703499972820282,0.4663774403470715,2.0,rel,,
12,/mathqi/mnissen/bm4tc/outputs/spirals/nat/legendre/d10r6/seed_sweep_a1_0506/12,spirals,13,25,1.0,,0.996,0.0557908667251467,0.7390878740698099,0.8375,0.504,0.3415,0.996,-0.6829447150230408,0.8425,0.507,0.3245,0.3275,0.499,0.6025,0.67,0.572,0.6985,0.777,0.813,0.586,0.6895,0.754,0.7785,0.3938931297709924,0.282565130260521,0.2406639004149377,0.2223880597014925,0.6118881118881119,0.5633500357909806,0.5482625482625483,0.5448954489544895,0.6945392491467577,0.6787527193618564,0.6737400530503979,0.6750160565189467,0.0423791821561338,0.0329341317365269,0.0314465408805031,0.0257575757575757,0.3341121495327103,0.330016583747927,0.3004484304932735,0.267379679144385,0.6485507246376812,0.6682769726247987,0.6808943089430894,0.6772009029345373,0.9565,0.7523809523809524,0.755,0.526369168356998,0.5815,0.4004441154700222,0.9369999766349792,0.8888888888888888,0.8920000195503235,0.8571428571428571,0.8604999780654907,0.8666666666666667,0.8240000009536743,0.7241379310344828,0.8109999895095825,0.7342799188640974,0.7900000214576721,0.731237322515213,0.6959999799728394,0.6039970392301999,0.7245000004768372,0.6558105107327905,0.7114999890327454,0.6565507031828275,0.997,0.9735000133514404,0.9225000143051147,0.9010000228881836,0.9355,0.7045,0.5455,0.077,0.1575,0.245,0.3735,0.1645,0.2745,0.393,0.5025,0.152,0.2285,0.313,0.4285,0.5454545454545454,0.2825396825396825,0.1979591836734693,0.1378848728246318,0.6747720364741642,0.5683060109289617,0.5279898218829516,0.4696517412935323,0.6677631578947368,0.5339168490153173,0.5159744408945687,0.5122520420070011,0.0243770314192849,0.0237388724035608,0.0211920529801324,0.0207501995211492,0.2208258527827648,0.1922811853893866,0.1449752883031301,0.1195979899497487,0.4162735849056603,0.4309786130913804,0.4264919941775837,0.4111986001749781,0.9495,0.6201550387596899,0.743,0.3062605752961083,0.574,0.2167216721672167,0.953499972820282,0.8527131782945736,0.9079999923706056,0.8294573643410853,0.8805000185966492,0.7674418604651163,0.840499997138977,0.5414551607445008,0.8220000267028809,0.5685279187817259,0.7835000157356262,0.5532994923857868,0.6510000228881836,0.3608360836083608,0.7149999737739563,0.4334433443344334,0.6924999952316284,0.4631463146314631,2.0,rel,,
13,/mathqi/mnissen/bm4tc/outputs/spirals/nat/legendre/d10r6/seed_sweep_a1_0506/13,spirals,14,25,1.0,,0.9905,0.0645834924653172,0.835363244637847,0.755,0.4435,0.3125,0.9905,-0.7721456289291382,0.7605,0.4235,0.308,0.1395,0.38,0.501,0.6695,0.3225,0.6125,0.6985,0.821,0.331,0.608,0.6905,0.7895,0.6774193548387096,0.4776315789473684,0.4001996007984032,0.3174010455563854,0.7968992248062016,0.7208163265306122,0.6821760916249106,0.6315468940316687,0.7990936555891238,0.7615131578947368,0.7306299782766111,0.7023432552248259,0.168506682161534,0.0935483870967742,0.0781563126252505,0.0816944024205748,0.4715867158671586,0.3483870967741935,0.3316749585406301,0.3240223463687151,0.6390134529147982,0.5841836734693877,0.6058158319870759,0.6532066508313539,0.942,0.7724425887265136,0.774,0.629661751951431,0.632,0.4927745664739884,0.9160000085830688,0.8914405010438413,0.8870000243186951,0.8496868475991649,0.859499990940094,0.8559498956158664,0.815500020980835,0.7354726799653079,0.809499979019165,0.7450130095403296,0.7985000014305115,0.7597571552471812,0.6919999718666077,0.5924855491329479,0.7279999852180481,0.653179190751445,0.7239999771118164,0.666907514450867,0.998,0.9629999995231628,0.915499985218048,0.878000020980835,0.8855,0.6915,0.5485,0.02,0.1695,0.269,0.393,0.0475,0.2425,0.359,0.5,0.062,0.201,0.276,0.3875,0.65,0.3421828908554572,0.2955390334572491,0.227735368956743,0.7368421052631579,0.5154639175257731,0.5027855153203342,0.473,0.7661290322580645,0.5646766169154229,0.5163043478260869,0.5096774193548387,0.1035714285714285,0.0680313064419024,0.0478796169630642,0.0411861614497528,0.2871391076115485,0.2422442244224422,0.1996879875195008,0.144,0.4307036247334754,0.4230287859824781,0.4267955801104972,0.4146938775510204,0.948,0.6812227074235808,0.781,0.4700162074554295,0.645,0.3820598006644518,0.9365000128746032,0.8995633187772926,0.9049999713897704,0.8384279475982532,0.8730000257492065,0.7947598253275109,0.8355000019073486,0.6126418152350082,0.8309999704360962,0.6320907617504052,0.8140000104904175,0.6482982171799028,0.6660000085830688,0.4462901439645625,0.7289999723434448,0.4916943521594684,0.7264999747276306,0.5271317829457365,2.0,rel,,
14,/mathqi/mnissen/bm4tc/outputs/spirals/nat/legendre/d10r6/seed_sweep_a1_0506/14,spirals,15,25,1.0,,0.9575,0.1441467413678765,1.3950765654444697,0.6925,0.5395,0.4515,0.9575,-1.2465519905090332,0.6905,0.547,0.4445,0.093,0.1695,0.223,0.345,0.0865,0.178,0.2515,0.3765,0.056,0.1385,0.236,0.3725,0.7903225806451613,0.7020648967551623,0.7017937219730942,0.6405797101449275,0.4335260115606936,0.5337078651685393,0.5944333996023857,0.6573705179282868,0.375,0.5054151624548736,0.5783898305084746,0.6644295302013423,0.2601984564498346,0.2293798916315472,0.1969111969111969,0.1351145038167938,0.4548440065681445,0.4355231143552311,0.4054776219104876,0.3295910184442662,0.566207627118644,0.563551944283227,0.5484293193717278,0.4908366533864541,0.864,0.6235864297253635,0.711,0.3730684326710817,0.6295,0.3393339333933393,0.7985000014305115,0.5573505654281099,0.7724999785423279,0.568659127625202,0.7289999723434448,0.5767366720516963,0.7020000219345093,0.3973509933774834,0.6995000243186951,0.4448123620309051,0.6669999957084656,0.4426048565121412,0.6119999885559082,0.3213321332133213,0.6485000252723694,0.4203420342034203,0.621999979019165,0.432043204320432,0.9595,0.8920000195503235,0.8215000033378601,0.7735000252723694,0.758,0.5685,0.4445,0.0255,0.0855,0.1325,0.2465,0.0135,0.039,0.0815,0.1865,0.007,0.0175,0.05,0.1005,0.2745098039215686,0.4269005847953216,0.4716981132075472,0.4908722109533469,0.5185185185185185,0.4230769230769231,0.4601226993865031,0.5924932975871313,0.6428571428571429,0.4857142857142857,0.47,0.4925373134328358,0.2411493073370959,0.224712957900492,0.2069164265129683,0.1605839416058394,0.4303091738469336,0.4318418314255983,0.4289602612955906,0.3945912722802704,0.5548841893252769,0.5567430025445292,0.56,0.5625347415230684,0.8635,0.5289256198347108,0.74,0.4206257242178447,0.6595,0.3951395139513951,0.7940000295639038,0.4462809917355372,0.762499988079071,0.5103305785123967,0.7350000143051147,0.5144628099173554,0.6990000009536743,0.3823870220162225,0.6840000152587891,0.4229432213209733,0.6729999780654907,0.4310544611819235,0.5950000286102295,0.3042304230423042,0.6255000233650208,0.3843384338433843,0.6315000057220459,0.4266426642664266,2.0,rel,,
15,/mathqi/mnissen/bm4tc/outputs/spirals/nat/legendre/d10r6/seed_sweep_a1_0506/15,spirals,16,25,1.0,,0.997,0.0694435387849807,0.7820390332490206,0.7975,0.3895,0.272,0.997,-0.712742030620575,0.804,0.4125,0.2865,0.312,0.4695,0.6025,0.6855,0.574,0.6655,0.767,0.841,0.549,0.6305,0.7165,0.7695,0.4903846153846153,0.3578274760383386,0.2937759336099585,0.2640408460977388,0.7439024390243902,0.7092411720510894,0.6714471968709257,0.633769322235434,0.7823315118397086,0.7795400475812847,0.7627355198883461,0.7452891487979207,0.0625,0.0527803958529689,0.0477987421383647,0.0476947535771065,0.3767605633802817,0.3452914798206278,0.3111587982832618,0.3427672955974842,0.6297117516629712,0.6008119079837618,0.5890652557319224,0.6073752711496746,0.9445,0.7857142857142857,0.701,0.548936170212766,0.544,0.3924316748423265,0.9269999861717224,0.8698979591836735,0.8930000066757202,0.8801020408163265,0.8575000166893005,0.8367346938775511,0.7804999947547913,0.6936170212765957,0.7835000157356262,0.708936170212766,0.7559999823570251,0.691063829787234,0.6735000014305115,0.5732305536089699,0.7049999833106995,0.6306937631394534,0.7080000042915344,0.6362999299229152,0.9945,0.9760000109672546,0.9394999742507936,0.8924999833106995,0.9505,0.738,0.5575,0.0445,0.135,0.241,0.3615,0.105,0.222,0.3395,0.441,0.1015,0.1755,0.2605,0.3655,0.2584269662921348,0.1259259259259259,0.0933609958506224,0.0746887966804979,0.5571428571428572,0.3963963963963964,0.3991163475699558,0.3820861678004535,0.5615763546798029,0.4159544159544159,0.381957773512476,0.4227086183310533,0.0397697540554683,0.0375722543352601,0.0355731225296442,0.0352388410336726,0.2273743016759776,0.2236503856041131,0.1915215745647236,0.167262969588551,0.4290484140233723,0.4481503941782899,0.4638269100743746,0.4539007092198581,0.9465,0.404040404040404,0.753,0.2061068702290076,0.5865,0.1389830508474576,0.9459999799728394,0.7171717171717171,0.9054999947547911,0.8181818181818182,0.8755000233650208,0.7575757575757576,0.8335000276565552,0.4866412213740458,0.8259999752044678,0.5400763358778626,0.8004999756813049,0.5458015267175572,0.6464999914169312,0.2655367231638418,0.7099999785423279,0.4338983050847457,0.7105000019073486,0.4598870056497175,2.0,rel,,
16,/mathqi/mnissen/bm4tc/outputs/spirals/nat/legendre/d10r6/seed_sweep_a1_0506/16,spirals,17,25,1.0,,0.995,0.0730523439124226,0.9914548229426146,0.8705,0.5425,0.406,0.995,-0.9194062948226928,0.871,0.5605,0.434,0.1215,0.23,0.307,0.4955,0.321,0.4865,0.5655,0.719,0.3065,0.4725,0.5505,0.696,0.3580246913580246,0.2956521739130435,0.2801302931596091,0.1967709384460141,0.5467289719626168,0.5991778006166495,0.5667550839964633,0.4986091794158553,0.5840130505709625,0.6306878306878307,0.6030881017257039,0.5531609195402298,0.0973249857712009,0.0792207792207792,0.062049062049062,0.062438057482656,0.3888070692194403,0.2882181110029211,0.2738780207134637,0.2882562277580071,0.5580389329488104,0.5080568720379147,0.5205784204671857,0.5953947368421053,0.941,0.6046511627906976,0.714,0.4232081911262799,0.567,0.2941696113074205,0.915499985218048,0.7209302325581395,0.8650000095367432,0.6976744186046512,0.843999981880188,0.6744186046511628,0.8040000200271606,0.6166097838452788,0.7764999866485596,0.6405005688282139,0.7664999961853027,0.6348122866894198,0.7020000219345093,0.5061837455830389,0.7260000109672546,0.5812720848056537,0.7139999866485596,0.5962897526501767,0.9945,0.962499976158142,0.9014999866485596,0.8535000085830688,0.9275,0.702,0.557,0.033,0.1095,0.152,0.234,0.0625,0.136,0.1875,0.317,0.047,0.0905,0.117,0.2385,0.4242424242424242,0.2465753424657534,0.2401315789473684,0.1688034188034188,0.56,0.6397058823529411,0.6,0.5347003154574133,0.6170212765957447,0.6795580110497238,0.6581196581196581,0.5765199161425576,0.0604963805584281,0.0510948905109489,0.0424528301886792,0.0430809399477806,0.2805333333333333,0.2442129629629629,0.2283076923076923,0.1881405563689604,0.434417628541448,0.4194612424409016,0.4144960362400906,0.4011818778726198,0.9425,0.4068965517241379,0.7685,0.3053691275167785,0.6195,0.1851015801354401,0.9330000281333924,0.7724137931034483,0.8884999752044678,0.6758620689655173,0.8454999923706055,0.6689655172413793,0.8065000176429749,0.4949664429530201,0.8009999990463257,0.5637583892617449,0.7789999842643738,0.535234899328859,0.6585000157356262,0.2945823927765237,0.7319999933242798,0.4830699774266365,0.7135000228881836,0.510158013544018,2.0,rel,,
17,/mathqi/mnissen/bm4tc/outputs/spirals/nat/legendre/d10r6/seed_sweep_a1_0506/17,spirals,18,25,1.0,,0.9965,0.0426772562786936,0.6775408647954464,0.9255,0.609,0.437,0.9965,-0.6339842677116394,0.925,0.604,0.4275,0.2125,0.42,0.482,0.6075,0.4855,0.6425,0.6765,0.766,0.5235,0.6635,0.692,0.777,0.3058823529411765,0.1666666666666666,0.1473029045643153,0.1193415637860082,0.6086508753861998,0.5237354085603113,0.5129342202512934,0.464751958224543,0.6762177650429799,0.6473247927656368,0.6437861271676301,0.611969111969112,0.0126984126984126,0.0086206896551724,0.0077220077220077,0.0063694267515923,0.19533527696793,0.1664335664335664,0.151468315301391,0.1709401709401709,0.4585519412381951,0.424962852897474,0.4123376623376623,0.4349775784753363,0.974,0.6733333333333333,0.7845,0.5126262626262627,0.625,0.3746724890829694,0.9474999904632568,0.88,0.9190000295639038,0.9066666666666666,0.8790000081062317,0.9,0.8324999809265137,0.6616161616161617,0.8264999985694885,0.7209595959595959,0.8059999942779541,0.6957070707070707,0.7099999785423279,0.5397379912663756,0.7434999942779541,0.6262008733624455,0.7179999947547913,0.6148471615720524,0.997,0.984499990940094,0.9350000023841858,0.9110000133514404,0.957,0.7375,0.5705,0.0705,0.1835,0.2425,0.3265,0.1705,0.3245,0.3825,0.4665,0.1525,0.2765,0.3105,0.4015,0.3049645390070922,0.1498637602179836,0.1237113402061855,0.1056661562021439,0.5483870967741935,0.50231124807396,0.4967320261437908,0.4619506966773847,0.5508196721311476,0.5045207956600362,0.5104669887278583,0.5155666251556662,0.0231307154384077,0.0189834660134721,0.0171617161716171,0.0126206384558277,0.2037371910789632,0.1472982975573649,0.117408906882591,0.0880974695407685,0.407669616519174,0.4008293020041465,0.3930384336475707,0.3717627401837928,0.974,0.6976744186046512,0.8035,0.3923809523809524,0.643,0.3050058207217695,0.9545000195503236,0.8488372093023255,0.9169999957084656,0.8255813953488372,0.9010000228881836,0.813953488372093,0.843500018119812,0.5009523809523809,0.8314999938011169,0.5257142857142857,0.8125,0.5466666666666666,0.671999990940094,0.3376018626309662,0.7225000262260437,0.420256111757858,0.703499972820282,0.4284051222351571,2.0,rel,,
