bond_dim,alpha,start,n_usable,n_total,best_acc,gen_at_best_acc,lr_at_best_acc,ss_at_best_acc,best_gen,acc_at_best_gen,lr_at_best_gen,ss_at_best_gen
40,1.0,cold,8,33,0.7731752606770461,-195.4120750427246,0.001,0.1,-195.4120750427246,0.7731752606770461,0.001,0.1
40,1.0,warm,21,33,0.7367518925867733,-181.30482591901503,0.0004523786186715,0.0011024113654848,-184.90270233154297,0.6260534209398657,0.0001504793353165,0.0870233472586638
60,0.01,cold,32,39,0.9657191829738608,-62.67852183750698,6.860040901227652e-06,6.66129626027414e-07,-180.82044873918807,0.8028853020997,0.0008471801418819,0.0038480732119896
60,0.01,warm,4,39,0.9468647336094844,-179.26082284109933,0.00015,0.001,-181.6146959577288,0.9382945293529495,0.0003,0.001
60,0.1,cold,28,34,0.8535923439508641,-181.26433617728097,0.0004575301763076,0.0185957191404669,-193.2229777744838,0.8230252821025568,0.0001964101424424,0.0032998987605865
60,0.1,warm,4,34,0.863733752321097,-181.99456896100725,0.00015,0.001,-182.51078578404017,0.8500214255106413,0.0003,0.001
100,0.01,cold,28,39,0.9644336523353808,-61.77123165130615,4.2079886696066345e-06,5.199238306140432e-08,-184.36403492518835,0.796457648907299,0.0011875458032811,3.7920166017489806e-08
100,0.01,warm,9,39,0.9512926724753606,-182.39379828316825,0.00015,0.001,-187.7371973310198,0.9355806313383802,0.00015,0.001
100,0.1,cold,17,28,0.860448507356092,-184.8311664036342,0.0003633741340913,1.6384242711764208e-05,-186.36679131644112,0.8274532209684331,5.34293726127978e-05,1.5977931030670652e-06
100,0.1,warm,9,28,0.8511641194115126,-188.14407239641463,0.00015,0.001,-188.14407239641463,0.8511641194115126,0.00015,0.001
