alpha,metric,warm_mean,warm_std,cold_mean,cold_std,delta_cold_minus_warm,se_delta,n_warm,n_cold
0.01,acc,0.9461428571428572,0.00309377254681542,0.9548095238095238,0.001214985792587865,0.0086666666666666,0.0015512411825210186,5,3
0.01,dis_loss,0.18196049885316326,0.010724907238169308,0.15909195237539028,0.0044902562134708475,-0.022868546477772977,0.005452112190794054,5,3
0.01,gen_loss,-135.3774958939986,0.9812242870605843,-113.87267897634796,2.3565426086958783,21.504816917650643,1.4295656365378617,5,3
0.01,uq_clean_log_px_mean,135.51653137207032,0.9843719423952375,114.00408935546875,2.3581278909500663,-21.512442016601568,1.4308692023453893,5,3
0.01,uq_clean_purify_acc/0.1,0.9364000000000001,0.004728765641242549,0.9416190476190476,0.0015408275892727088,0.005219047619047457,0.0022942598191821825,5,3
0.01,rob/0.05,0.7112,0.014493348227967962,0.8352380952380952,0.004621010873888785,0.12403809523809517,0.0070092326544086035,5,3
0.01,rob/0.1,0.3364857142857143,0.013782049846056393,0.5513333333333333,0.006027713773341713,0.21484761904761907,0.007078141754934535,5,3
0.01,rob/0.15,0.0658571428571428,0.00440083480021408,0.170047619047619,0.0035866342966953376,0.10419047619047621,0.0028568253791867435,5,3
0.01,uq_purify_acc/0.05/0.1,0.8671428571428571,0.00559427549977179,0.8831904761904762,0.0031178660066420558,0.01604761904761909,0.003082133430800935,5,3
0.01,uq_purify_acc/0.1/0.1,0.7928000000000001,0.006338737400834246,0.8027619047619048,0.0037261714589503824,0.009961904761904727,0.003558656527564738,5,3
0.01,uq_purify_acc/0.15/0.1,0.6987714285714286,0.003927402423475163,0.6607142857142857,0.012204883599341219,-0.0380571428571429,0.007262090551877823,5,3
0.01,uq_joint_adv_acc/0.05,0.9441428571428572,0.0024969368989926468,0.9489047619047618,0.0012481278497220778,0.004761904761904634,0.0013289895228810078,5,3
0.01,uq_joint_adv_acc/0.1,0.9416285714285714,0.0033481642853409417,0.9408095238095239,0.0013502330360721257,-0.0008190476190474971,0.0016881204242865419,5,3
0.01,uq_joint_adv_acc/0.15,0.937,0.0037701837772561556,0.9265238095238094,0.004408556923717799,-0.010476190476190639,0.0030530828997496636,5,3
0.01,uq_detection/5pct/0.05,0.0993428571428571,0.0018171518418466026,0.379,0.002867837128554958,0.27965714285714294,0.001844425320229786,5,3
0.01,uq_detection/5pct/0.1,0.2340285714285714,0.007170233252688476,0.8714285714285714,0.007903757824927455,0.6374000000000001,0.005577237508954821,5,3
0.01,uq_detection/5pct/0.15,0.39062857142857144,0.012201789765005291,0.9909523809523809,0.0013502330360721689,0.6003238095238095,0.005512208672070068,5,3
0.01,gibbs_clean_acc,0.9431999802589417,0.016346255890406638,0.9639999866485596,0.0,0.020800006389617876,0.007310267869711119,5,3
0.01,gibbs_clean_purify_acc/6,0.9351999878883361,0.005215372493395102,0.9546666542689007,0.009237588614816498,0.0194666663805646,0.00582102824718293,5,3
0.01,gibbs_purify_acc/0.05/6,0.8680000066757202,0.014696943907417916,0.890666663646698,0.014047538518188176,0.022666656970977805,0.01043924381920858,5,3
0.01,gibbs_purify_acc/0.1/6,0.7648000001907349,0.015073145948186066,0.7666666706403097,0.01006646631393005,0.001866670449574781,0.00890044158669818,5,3
0.01,gibbs_purify_acc/0.15/6,0.6072000026702881,0.017753876566343918,0.4813333253065745,0.0438786020675097,-0.12586667736371354,0.026548394799426524,5,3
0.1,acc,0.8276857142857142,0.007516240918904875,0.8153809523809524,0.017849903294389274,-0.012304761904761818,0.010839978077309643,5,3
0.1,dis_loss,0.533959324576638,0.01892508600984881,0.5896146530454809,0.0539826534133201,0.05565532846884291,0.032295625079519906,5,3
0.1,gen_loss,-138.5594549005682,0.2528848710751069,-138.9087808782404,0.9199540417237515,-0.3493259776722084,0.5430426299088835,5,3
0.1,uq_clean_log_px_mean,139.04837036132812,0.23515871143122166,139.45329793294272,0.868868798349596,0.4049275716145928,0.5125468305376809,5,3
0.1,uq_clean_purify_acc/0.1,0.8028000000000001,0.009601551745336142,0.7908095238095237,0.018871387116496753,-0.011990476190476329,0.011711008058684217,5,3
0.1,rob/0.05,0.5458285714285714,0.009894546013654495,0.5317619047619048,0.01736189431339968,-0.014066666666666672,0.010957137683407649,5,3
0.1,rob/0.1,0.2897142857142857,0.00682582132308587,0.31176190476190474,0.02778721381680215,0.022047619047619038,0.016330792527630093,5,3
0.1,rob/0.15,0.12657142857142856,0.0026745207466927186,0.1529523809523809,0.015141734010460546,0.02638095238095234,0.008823528122359965,5,3
0.1,uq_purify_acc/0.05/0.1,0.7114,0.007011215504970807,0.6867619047619048,0.016977976931315183,-0.024638095238095237,0.010291517322444998,5,3
0.1,uq_purify_acc/0.1/0.1,0.6394857142857142,0.00876134832601672,0.608952380952381,0.016947899354108977,-0.03053333333333319,0.010540209156857137,5,3
0.1,uq_purify_acc/0.15/0.1,0.5696571428571429,0.011210690961610464,0.5293809523809524,0.020923735830114955,-0.040276190476190465,0.013079379141616738,5,3
0.1,uq_joint_adv_acc/0.05,0.8248857142857144,0.006354654408625326,0.7859047619047619,0.018523197443676233,-0.03898095238095256,0.011065529406362963,5,3
